RowIndex,Tag,ID,Type,Name,Icon,SetID,Level,BoundRule,Identifiable,MinIdentifiedRate,BasePrice,SellPrice,DurationHour,ExtraHint,Description,Text,ChildrenJSON
11,PetEquip,70002001,1000,Thương Lang Khiếu Nguyệt Thú Trảo,PetEquipClaw1_13,2,75,1,true,0,1000,800,-1,,"Thương lang khiếu nguyệt, gia tăng sức mạnh.<br><color=#00FF00>Có thể đến Tô Châu tìm Vân San San tiến hành thăng cấp sao hoặc phân giải trang bị",,"[{""Tag"":""BaseAttribute"",""Attributes"":{""Symbol"":""magic_physatkbase"",""Value"":""628""}},{""Tag"":""BaseAttribute"",""Attributes"":{""Symbol"":""magic_magicatkbase"",""Value"":""628""}},{""Tag"":""Attribute"",""Attributes"":{""Symbol"":""magic_physatk"",""Value"":""2764"",""MinStar"":""1""}},{""Tag"":""Attribute"",""Attributes"":{""Symbol"":""magic_strength"",""Value"":""75"",""MinStar"":""3""}},{""Tag"":""Attribute"",""Attributes"":{""Symbol"":""magic_hit"",""Value"":""1606"",""MinStar"":""5""}},{""Tag"":""Attribute"",""Attributes"":{""Symbol"":""magic_dexterity"",""Value"":""30"",""MinStar"":""7""}},{""Tag"":""Attribute"",""Attributes"":{""Symbol"":""magic_allattributes"",""Value"":""15"",""MinStar"":""9""}}]"
12,PetEquip,70002002,1001,Thương Lang Khiếu Nguyệt Thú Khôi,PetEquipHat1_13,2,75,1,true,0,1000,800,-1,,"Thương lang khiếu nguyệt, gia tăng sức mạnh.<br><color=#00FF00>Có thể đến Tô Châu tìm Vân San San tiến hành thăng cấp sao hoặc phân giải trang bị",,"[{""Tag"":""BaseAttribute"",""Attributes"":{""Symbol"":""magic_physdefbase"",""Value"":""234""}},{""Tag"":""BaseAttribute"",""Attributes"":{""Symbol"":""magic_magicdefbase"",""Value"":""234""}},{""Tag"":""Attribute"",""Attributes"":{""Symbol"":""magic_physdef"",""Value"":""1763"",""MinStar"":""1""}},{""Tag"":""Attribute"",""Attributes"":{""Symbol"":""magic_magicdef"",""Value"":""1763"",""MinStar"":""3""}},{""Tag"":""Attribute"",""Attributes"":{""Symbol"":""magic_dexterity"",""Value"":""30"",""MinStar"":""5""}},{""Tag"":""Attribute"",""Attributes"":{""Symbol"":""magic_strength"",""Value"":""75"",""MinStar"":""7""}},{""Tag"":""Attribute"",""Attributes"":{""Symbol"":""magic_allattributes"",""Value"":""15"",""MinStar"":""9""}}]"
13,PetEquip,70002003,1002,Thương Lang Khiếu Nguyệt Thú Giáp,PetEquipCloth1_13,2,75,1,true,0,1000,800,-1,,"Thương lang khiếu nguyệt, gia tăng sức mạnh.<br><color=#00FF00>Có thể đến Tô Châu tìm Vân San San tiến hành thăng cấp sao hoặc phân giải trang bị",,"[{""Tag"":""BaseAttribute"",""Attributes"":{""Symbol"":""magic_physdefbase"",""Value"":""624""}},{""Tag"":""BaseAttribute"",""Attributes"":{""Symbol"":""magic_magicdefbase"",""Value"":""624""}},{""Tag"":""Attribute"",""Attributes"":{""Symbol"":""magic_physdef"",""Value"":""2734"",""MinStar"":""1""}},{""Tag"":""Attribute"",""Attributes"":{""Symbol"":""magic_magicdef"",""Value"":""2734"",""MinStar"":""3""}},{""Tag"":""Attribute"",""Attributes"":{""Symbol"":""magic_dexterity"",""Value"":""30"",""MinStar"":""5""}},{""Tag"":""Attribute"",""Attributes"":{""Symbol"":""magic_strength"",""Value"":""75"",""MinStar"":""7""}},{""Tag"":""Attribute"",""Attributes"":{""Symbol"":""magic_allattributes"",""Value"":""15"",""MinStar"":""9""}}]"
14,PetEquip,70002004,1003,Thương Lang Khiếu Nguyệt Thú Hoàn,PetEquipChaplet1_13,2,75,1,true,0,1000,800,-1,,"Thương lang khiếu nguyệt, gia tăng sức mạnh.<br><color=#00FF00>Có thể đến Tô Châu tìm Vân San San tiến hành thăng cấp sao hoặc phân giải trang bị",,"[{""Tag"":""BaseAttribute"",""Attributes"":{""Symbol"":""magic_hitbase"",""Value"":""580""}},{""Tag"":""Attribute"",""Attributes"":{""Symbol"":""magic_physatk"",""Value"":""2764"",""MinStar"":""1""}},{""Tag"":""Attribute"",""Attributes"":{""Symbol"":""magic_strength"",""Value"":""75"",""MinStar"":""3""}},{""Tag"":""Attribute"",""Attributes"":{""Symbol"":""magic_hit"",""Value"":""1606"",""MinStar"":""5""}},{""Tag"":""Attribute"",""Attributes"":{""Symbol"":""magic_dexterity"",""Value"":""30"",""MinStar"":""7""}},{""Tag"":""Attribute"",""Attributes"":{""Symbol"":""magic_allattributes"",""Value"":""15"",""MinStar"":""9""}}]"
15,PetEquip,70002005,1004,Thương Lang Khiếu Nguyệt Thú Sức,PetEquipAmulet1_9,2,75,1,true,0,1000,800,-1,,"Thương lang khiếu nguyệt, gia tăng sức mạnh.<br><color=#00FF00>Có thể đến Tô Châu tìm Vân San San tiến hành thăng cấp sao hoặc phân giải trang bị",,"[{""Tag"":""BaseAttribute"",""Attributes"":{""Symbol"":""magic_hitbase"",""Value"":""290""}},{""Tag"":""BaseAttribute"",""Attributes"":{""Symbol"":""magic_dodgebase"",""Value"":""96""}},{""Tag"":""Attribute"",""Attributes"":{""Symbol"":""magic_physatk"",""Value"":""2764"",""MinStar"":""1""}},{""Tag"":""Attribute"",""Attributes"":{""Symbol"":""magic_strength"",""Value"":""75"",""MinStar"":""3""}},{""Tag"":""Attribute"",""Attributes"":{""Symbol"":""magic_hit"",""Value"":""1606"",""MinStar"":""5""}},{""Tag"":""Attribute"",""Attributes"":{""Symbol"":""magic_dexterity"",""Value"":""30"",""MinStar"":""7""}},{""Tag"":""Attribute"",""Attributes"":{""Symbol"":""magic_allattributes"",""Value"":""15"",""MinStar"":""9""}}]"
16,PetEquip,70002101,1000,Hoàng Tước Hý Thủy Thú Trảo,PetEquipClaw1_2,3,75,1,true,0,1000,800,-1,,"Hoàng tước hí thủy, hiển kì linh dã.<br><color=#00FF00>Có thể đến Tô Châu tìm Vân San San tiến hành thăng cấp sao hoặc phân giải trang bị",,"[{""Tag"":""BaseAttribute"",""Attributes"":{""Symbol"":""magic_physatkbase"",""Value"":""628""}},{""Tag"":""BaseAttribute"",""Attributes"":{""Symbol"":""magic_magicatkbase"",""Value"":""628""}},{""Tag"":""Attribute"",""Attributes"":{""Symbol"":""magic_magicatk"",""Value"":""2764"",""MinStar"":""1""}},{""Tag"":""Attribute"",""Attributes"":{""Symbol"":""magic_energy"",""Value"":""75"",""MinStar"":""3""}},{""Tag"":""Attribute"",""Attributes"":{""Symbol"":""magic_hit"",""Value"":""1606"",""MinStar"":""5""}},{""Tag"":""Attribute"",""Attributes"":{""Symbol"":""magic_dexterity"",""Value"":""30"",""MinStar"":""7""}},{""Tag"":""Attribute"",""Attributes"":{""Symbol"":""magic_allattributes"",""Value"":""15"",""MinStar"":""9""}}]"
17,PetEquip,70002102,1001,Hoàng Tước Hý Thủy Thú Khôi,PetEquipHat1_2,3,75,1,true,0,1000,800,-1,,"Hoàng tước hí thủy, hiển kì linh dã.<br><color=#00FF00>Có thể đến Tô Châu tìm Vân San San tiến hành thăng cấp sao hoặc phân giải trang bị",,"[{""Tag"":""BaseAttribute"",""Attributes"":{""Symbol"":""magic_physdefbase"",""Value"":""234""}},{""Tag"":""BaseAttribute"",""Attributes"":{""Symbol"":""magic_magicdefbase"",""Value"":""234""}},{""Tag"":""Attribute"",""Attributes"":{""Symbol"":""magic_physdef"",""Value"":""1763"",""MinStar"":""1""}},{""Tag"":""Attribute"",""Attributes"":{""Symbol"":""magic_magicdef"",""Value"":""1763"",""MinStar"":""3""}},{""Tag"":""Attribute"",""Attributes"":{""Symbol"":""magic_dexterity"",""Value"":""30"",""MinStar"":""5""}},{""Tag"":""Attribute"",""Attributes"":{""Symbol"":""magic_energy"",""Value"":""75"",""MinStar"":""7""}},{""Tag"":""Attribute"",""Attributes"":{""Symbol"":""magic_allattributes"",""Value"":""15"",""MinStar"":""9""}}]"
18,PetEquip,70002103,1002,Hoàng Tước Hý Thủy Thú Giáp,PetEquipCloth1_2,3,75,1,true,0,1000,800,-1,,"Hoàng tước hí thủy, hiển kì linh dã.<br><color=#00FF00>Có thể đến Tô Châu tìm Vân San San tiến hành thăng cấp sao hoặc phân giải trang bị",,"[{""Tag"":""BaseAttribute"",""Attributes"":{""Symbol"":""magic_physdefbase"",""Value"":""624""}},{""Tag"":""BaseAttribute"",""Attributes"":{""Symbol"":""magic_magicdefbase"",""Value"":""624""}},{""Tag"":""Attribute"",""Attributes"":{""Symbol"":""magic_physdef"",""Value"":""2734"",""MinStar"":""1""}},{""Tag"":""Attribute"",""Attributes"":{""Symbol"":""magic_magicdef"",""Value"":""2734"",""MinStar"":""3""}},{""Tag"":""Attribute"",""Attributes"":{""Symbol"":""magic_dexterity"",""Value"":""30"",""MinStar"":""5""}},{""Tag"":""Attribute"",""Attributes"":{""Symbol"":""magic_energy"",""Value"":""75"",""MinStar"":""7""}},{""Tag"":""Attribute"",""Attributes"":{""Symbol"":""magic_allattributes"",""Value"":""15"",""MinStar"":""9""}}]"
19,PetEquip,70002104,1003,Hoàng Tước Hý Thủy Thú Hoàn,PetEquipChaplet1_2,3,75,1,true,0,1000,800,-1,,"Hoàng tước hí thủy, hiển kì linh dã.<br><color=#00FF00>Có thể đến Tô Châu tìm Vân San San tiến hành thăng cấp sao hoặc phân giải trang bị",,"[{""Tag"":""BaseAttribute"",""Attributes"":{""Symbol"":""magic_hitbase"",""Value"":""580""}},{""Tag"":""Attribute"",""Attributes"":{""Symbol"":""magic_magicatk"",""Value"":""2764"",""MinStar"":""1""}},{""Tag"":""Attribute"",""Attributes"":{""Symbol"":""magic_energy"",""Value"":""75"",""MinStar"":""3""}},{""Tag"":""Attribute"",""Attributes"":{""Symbol"":""magic_hit"",""Value"":""1606"",""MinStar"":""5""}},{""Tag"":""Attribute"",""Attributes"":{""Symbol"":""magic_dexterity"",""Value"":""30"",""MinStar"":""7""}},{""Tag"":""Attribute"",""Attributes"":{""Symbol"":""magic_allattributes"",""Value"":""15"",""MinStar"":""9""}}]"
20,PetEquip,70002105,1004,Hoàng Tước Hý Thủy Thú Sức,PetEquipAmulet1_6,3,75,1,true,0,1000,800,-1,,"Hoàng tước hí thủy, hiển kì linh dã.<br><color=#00FF00>Có thể đến Tô Châu tìm Vân San San tiến hành thăng cấp sao hoặc phân giải trang bị",,"[{""Tag"":""BaseAttribute"",""Attributes"":{""Symbol"":""magic_hitbase"",""Value"":""290""}},{""Tag"":""BaseAttribute"",""Attributes"":{""Symbol"":""magic_dodgebase"",""Value"":""96""}},{""Tag"":""Attribute"",""Attributes"":{""Symbol"":""magic_magicatk"",""Value"":""2764"",""MinStar"":""1""}},{""Tag"":""Attribute"",""Attributes"":{""Symbol"":""magic_energy"",""Value"":""75"",""MinStar"":""3""}},{""Tag"":""Attribute"",""Attributes"":{""Symbol"":""magic_hit"",""Value"":""1606"",""MinStar"":""5""}},{""Tag"":""Attribute"",""Attributes"":{""Symbol"":""magic_dexterity"",""Value"":""30"",""MinStar"":""7""}},{""Tag"":""Attribute"",""Attributes"":{""Symbol"":""magic_allattributes"",""Value"":""15"",""MinStar"":""9""}}]"
21,PetEquip,70002201,1000,Ô Đồn Vọng Nhật Thú Trảo,PetEquipClaw1_3,4,75,1,true,0,1000,800,-1,,"Ô đồn vọng nhật, gia tăng thể lực.<br><color=#00FF00>Có thể đến Tô Châu tìm Vân San San tiến hành thăng cấp sao hoặc phân giải trang bị",,"[{""Tag"":""BaseAttribute"",""Attributes"":{""Symbol"":""magic_physatkbase"",""Value"":""628""}},{""Tag"":""BaseAttribute"",""Attributes"":{""Symbol"":""magic_magicatkbase"",""Value"":""628""}},{""Tag"":""Attribute"",""Attributes"":{""Symbol"":""magic_physatk"",""Value"":""1764"",""MinStar"":""1""}},{""Tag"":""Attribute"",""Attributes"":{""Symbol"":""magic_magicatk"",""Value"":""1764"",""MinStar"":""3""}},{""Tag"":""Attribute"",""Attributes"":{""Symbol"":""magic_stamina"",""Value"":""75"",""MinStar"":""5""}},{""Tag"":""Attribute"",""Attributes"":{""Symbol"":""magic_hit"",""Value"":""1606"",""MinStar"":""7""}},{""Tag"":""Attribute"",""Attributes"":{""Symbol"":""magic_allattributes"",""Value"":""15"",""MinStar"":""9""}}]"
22,PetEquip,70002202,1001,Ô Đồn Vọng Nhật Thú Khôi,PetEquipHat1_3,4,75,1,true,0,1000,800,-1,,"Ô đồn vọng nhật, gia tăng thể lực.<br><color=#00FF00>Có thể đến Tô Châu tìm Vân San San tiến hành thăng cấp sao hoặc phân giải trang bị",,"[{""Tag"":""BaseAttribute"",""Attributes"":{""Symbol"":""magic_physdefbase"",""Value"":""234""}},{""Tag"":""BaseAttribute"",""Attributes"":{""Symbol"":""magic_magicdefbase"",""Value"":""234""}},{""Tag"":""Attribute"",""Attributes"":{""Symbol"":""magic_physdef"",""Value"":""2763"",""MinStar"":""1""}},{""Tag"":""Attribute"",""Attributes"":{""Symbol"":""magic_magicdef"",""Value"":""2763"",""MinStar"":""3""}},{""Tag"":""Attribute"",""Attributes"":{""Symbol"":""magic_dexterity"",""Value"":""30"",""MinStar"":""5""}},{""Tag"":""Attribute"",""Attributes"":{""Symbol"":""magic_stamina"",""Value"":""75"",""MinStar"":""7""}},{""Tag"":""Attribute"",""Attributes"":{""Symbol"":""magic_allattributes"",""Value"":""15"",""MinStar"":""9""}}]"
23,PetEquip,70002203,1002,Ô Đồn Vọng Nhật Thú Giáp,PetEquipCloth1_3,4,75,1,true,0,1000,800,-1,,"Ô đồn vọng nhật, gia tăng thể lực.<br><color=#00FF00>Có thể đến Tô Châu tìm Vân San San tiến hành thăng cấp sao hoặc phân giải trang bị",,"[{""Tag"":""BaseAttribute"",""Attributes"":{""Symbol"":""magic_physdefbase"",""Value"":""624""}},{""Tag"":""BaseAttribute"",""Attributes"":{""Symbol"":""magic_magicdefbase"",""Value"":""624""}},{""Tag"":""Attribute"",""Attributes"":{""Symbol"":""magic_physdef"",""Value"":""6334"",""MinStar"":""1""}},{""Tag"":""Attribute"",""Attributes"":{""Symbol"":""magic_magicdef"",""Value"":""6334"",""MinStar"":""3""}},{""Tag"":""Attribute"",""Attributes"":{""Symbol"":""magic_dexterity"",""Value"":""30"",""MinStar"":""5""}},{""Tag"":""Attribute"",""Attributes"":{""Symbol"":""magic_stamina"",""Value"":""75"",""MinStar"":""7""}},{""Tag"":""Attribute"",""Attributes"":{""Symbol"":""magic_allattributes"",""Value"":""15"",""MinStar"":""9""}}]"
24,PetEquip,70002204,1003,Ô Đồn Vọng Nhật Thú Hoàn,PetEquipChaplet1_3,4,75,1,true,0,1000,800,-1,,"Ô đồn vọng nhật, gia tăng thể lực.<br><color=#00FF00>Có thể đến Tô Châu tìm Vân San San tiến hành thăng cấp sao hoặc phân giải trang bị",,"[{""Tag"":""BaseAttribute"",""Attributes"":{""Symbol"":""magic_hitbase"",""Value"":""580""}},{""Tag"":""Attribute"",""Attributes"":{""Symbol"":""magic_physdef"",""Value"":""2764"",""MinStar"":""1""}},{""Tag"":""Attribute"",""Attributes"":{""Symbol"":""magic_magicdef"",""Value"":""2764"",""MinStar"":""3""}},{""Tag"":""Attribute"",""Attributes"":{""Symbol"":""magic_hit"",""Value"":""1606"",""MinStar"":""5""}},{""Tag"":""Attribute"",""Attributes"":{""Symbol"":""magic_stamina"",""Value"":""75"",""MinStar"":""7""}},{""Tag"":""Attribute"",""Attributes"":{""Symbol"":""magic_allattributes"",""Value"":""15"",""MinStar"":""9""}}]"
25,PetEquip,70002205,1004,Ô Đồn Vọng Nhật Thú Sức,PetEquipAmulet1_13,4,75,1,true,0,1000,800,-1,,"Ô đồn vọng nhật, gia tăng thể lực.<br><color=#00FF00>Có thể đến Tô Châu tìm Vân San San tiến hành thăng cấp sao hoặc phân giải trang bị",,"[{""Tag"":""BaseAttribute"",""Attributes"":{""Symbol"":""magic_hitbase"",""Value"":""290""}},{""Tag"":""BaseAttribute"",""Attributes"":{""Symbol"":""magic_dodgebase"",""Value"":""96""}},{""Tag"":""Attribute"",""Attributes"":{""Symbol"":""magic_physdef"",""Value"":""2764"",""MinStar"":""1""}},{""Tag"":""Attribute"",""Attributes"":{""Symbol"":""magic_magicdef"",""Value"":""2764"",""MinStar"":""3""}},{""Tag"":""Attribute"",""Attributes"":{""Symbol"":""magic_hit"",""Value"":""1606"",""MinStar"":""5""}},{""Tag"":""Attribute"",""Attributes"":{""Symbol"":""magic_stamina"",""Value"":""75"",""MinStar"":""7""}},{""Tag"":""Attribute"",""Attributes"":{""Symbol"":""magic_allattributes"",""Value"":""15"",""MinStar"":""9""}}]"
26,PetEquip,70002301,1000,Bạch Thố Ẩn Lâm Thú Trảo,PetEquipClaw1_5,5,75,1,true,0,1000,800,-1,,"Bạch thố ẩn lâm, tàng hình.<br><color=#00FF00>Có thể đến Tô Châu tìm Vân San San tiến hành thăng cấp sao hoặc phân giải trang bị",,"[{""Tag"":""BaseAttribute"",""Attributes"":{""Symbol"":""magic_physatkbase"",""Value"":""628""}},{""Tag"":""BaseAttribute"",""Attributes"":{""Symbol"":""magic_magicatkbase"",""Value"":""628""}},{""Tag"":""Attribute"",""Attributes"":{""Symbol"":""magic_physatk"",""Value"":""1764"",""MinStar"":""1""}},{""Tag"":""Attribute"",""Attributes"":{""Symbol"":""magic_magicatk"",""Value"":""1764"",""MinStar"":""3""}},{""Tag"":""Attribute"",""Attributes"":{""Symbol"":""magic_stamina"",""Value"":""30"",""MinStar"":""5""}},{""Tag"":""Attribute"",""Attributes"":{""Symbol"":""magic_dexterity"",""Value"":""75"",""MinStar"":""7""}},{""Tag"":""Attribute"",""Attributes"":{""Symbol"":""magic_allattributes"",""Value"":""15"",""MinStar"":""9""}}]"
27,PetEquip,70002302,1001,Bạch Thố Ẩn Lâm Thú Khôi,PetEquipHat1_5,5,75,1,true,0,1000,800,-1,,"Bạch thố ẩn lâm, tàng hình.<br><color=#00FF00>Có thể đến Tô Châu tìm Vân San San tiến hành thăng cấp sao hoặc phân giải trang bị",,"[{""Tag"":""BaseAttribute"",""Attributes"":{""Symbol"":""magic_physdefbase"",""Value"":""234""}},{""Tag"":""BaseAttribute"",""Attributes"":{""Symbol"":""magic_magicdefbase"",""Value"":""234""}},{""Tag"":""Attribute"",""Attributes"":{""Symbol"":""magic_physdef"",""Value"":""2763"",""MinStar"":""1""}},{""Tag"":""Attribute"",""Attributes"":{""Symbol"":""magic_magicdef"",""Value"":""2763"",""MinStar"":""3""}},{""Tag"":""Attribute"",""Attributes"":{""Symbol"":""magic_dexterity"",""Value"":""75"",""MinStar"":""5""}},{""Tag"":""Attribute"",""Attributes"":{""Symbol"":""magic_stamina"",""Value"":""30"",""MinStar"":""7""}},{""Tag"":""Attribute"",""Attributes"":{""Symbol"":""magic_allattributes"",""Value"":""15"",""MinStar"":""9""}}]"
