ID,CooldownGroup,Name,ShortDescription,Description,Icon,ActionID,PrecastActionID,FinishActionID,PrecastFx,CastFx,FlyFx,ExplodeFx,BuffFx,ChainingSourceFx,ChainingTargetFx,ChainingFx,Type,Style,FactionID,BookID,CanDirectlyStudy,RequireLevel,RequireWeapon,IsDamageSkill,CastRange,AttackRadius,AnimationDuration,TargetType,ProgressTime,MissileSpeed,MissileCount,FixedHitRate,FixedCritRate,ShowSkillNameWhenUse,Property,Tag,ProgressFluction
16,1,Ném ám khí,Tấn công một mục tiêu,"Kỹ năng tấn công của ám khí, gây sát thương trực tiếp lên mục tiêu",FabaoSkill_1,725,-1,-1,,,"600,Fly_NemAmKhi","0,EXP_NemAmKhi",,,,,Active,RangedSingleTarget,-1,-1,false,40,true,true,20,0,600,Enemy,0,1200,1,-1,-1,true,dart_throw_direct,NO_RESET,20
20,2,Ám khí đả huyệt,Khống chế một mục tiêu,"Kỹ năng khống chế của ám khí, gây trạng thái hư nhược, giảm công kích của mục tiêu",FabaoSkill_2,726,-1,-1,,,"600,Fly_AmKhiDaHuyet","0,EXP_AmKhiDaHuyet",,,,,Active,RangedSingleTarget,-2,-1,false,70,true,false,20,0,600,Enemy,0,1200,1,100,-1,true,dart_control_weakness_damage,NO_RESET,20
21,2,Ám khí đả huyệt,Khống chế một mục tiêu,"Kỹ năng khống chế của ám khí, gây trạng thái hư nhược, giảm phòng ngự của mục tiêu",FabaoSkill_2,726,-1,-1,,,"600,Fly_AmKhiDaHuyet","0,EXP_AmKhiDaHuyet",,,,,Active,RangedSingleTarget,-2,-1,false,70,true,false,20,0,600,Enemy,0,1200,1,100,-1,true,dart_control_weakness_defense,NO_RESET,20
22,2,Ám khí đả huyệt,Khống chế một mục tiêu,"Kỹ năng khống chế của ám khí, gây trạng thái giảm tốc lên mục tiêu",FabaoSkill_2,726,-1,-1,,,"600,Fly_AmKhiDaHuyet","0,EXP_AmKhiDaHuyet",,,,,Active,RangedSingleTarget,-2,-1,false,70,true,false,20,0,600,Enemy,0,1200,1,-1,100,true,dart_control_slow,NO_RESET,20
23,2,Ám khí đả huyệt,Khống chế một mục tiêu,"Kỹ năng khống chế của ám khí, gây trạng thái định thân lên mục tiêu",FabaoSkill_2,726,-1,-1,,,"600,Fly_AmKhiDaHuyet","0,EXP_AmKhiDaHuyet",,,,,Active,RangedSingleTarget,-2,-1,false,70,true,false,20,0,600,Enemy,0,1200,1,-1,100,true,dart_control_immobile,NO_RESET,20
24,2,Ám khí đả huyệt,Khống chế một mục tiêu,"Kỹ năng khống chế của ám khí, gây trạng thái tản công lên mục tiêu",FabaoSkill_2,726,-1,-1,,,"600,Fly_AmKhiDaHuyet","0,EXP_AmKhiDaHuyet",,,,,Active,RangedSingleTarget,-2,-1,false,70,true,false,20,0,600,Enemy,0,1200,1,-1,100,true,dart_control_silence,NO_RESET,20
25,2,Ám khí đả huyệt,Khống chế một mục tiêu,"Kỹ năng khống chế của ám khí, gây trạng thái thất minh lên mục tiêu",FabaoSkill_2,726,-1,-1,,,"600,Fly_AmKhiDaHuyet","0,EXP_AmKhiDaHuyet",,,,,Active,RangedSingleTarget,-2,-1,false,70,true,false,20,0,600,Enemy,0,1200,1,-1,100,true,dart_control_blind,NO_RESET,20
26,2,Ám khí đả huyệt,Khống chế một mục tiêu,"Kỹ năng khống chế của ám khí, gây trạng thái phong huyệt lên mục tiêu",FabaoSkill_2,726,-1,-1,,,"600,Fly_AmKhiDaHuyet","0,EXP_AmKhiDaHuyet",,,,,Active,RangedSingleTarget,-2,-1,false,70,true,false,20,0,600,Enemy,0,1200,1,-1,100,true,dart_control_incapacitate,NO_RESET,20
27,2,Ám khí đả huyệt,Khống chế một mục tiêu,"Kỹ năng khống chế của ám khí, gây trạng thái tê liệt lên mục tiêu",FabaoSkill_2,726,-1,-1,,,"600,Fly_AmKhiDaHuyet","0,EXP_AmKhiDaHuyet",,,,,Active,RangedSingleTarget,-2,-1,false,70,true,false,20,0,600,Enemy,0,1200,1,-1,100,true,dart_control_paralyse,NO_RESET,20
28,2,Ám khí đả huyệt,Khống chế một mục tiêu,"Kỹ năng khống chế của ám khí, gây trạng thái vây khốn lên mục tiêu",FabaoSkill_2,726,-1,-1,,,"600,Fly_AmKhiDaHuyet","0,EXP_AmKhiDaHuyet",,,,,Active,RangedSingleTarget,-2,-1,false,70,true,false,20,0,600,Enemy,0,1200,1,-1,100,true,dart_control_encircle,NO_RESET,20
29,2,Ám khí đả huyệt,Khống chế một mục tiêu,"Kỹ năng khống chế của ám khí, gây trạng thái hôn mê lên mục tiêu",FabaoSkill_2,726,-1,-1,,,"600,Fly_AmKhiDaHuyet","0,EXP_AmKhiDaHuyet",,,,,Active,RangedSingleTarget,-2,-1,false,70,true,false,20,0,600,Enemy,0,1200,1,-1,100,true,dart_control_sleep,NO_RESET,20
30,2,Ám khí đả huyệt,Khống chế một mục tiêu,"Kỹ năng khống chế của ám khí, gây trạng thái chảy máu liên tục lên mục tiêu",FabaoSkill_2,726,-1,-1,,,"600,Fly_AmKhiDaHuyet","0,EXP_AmKhiDaHuyet",,,,,Active,RangedSingleTarget,-2,-1,false,70,true,false,20,0,600,Enemy,0,1200,1,100,-1,true,dart_control_hpleak,NO_RESET,20
40,3,Ám khí hộ thể,Hỗ trợ bản thân,"Kỹ năng hộ thể của ám khí, tăng cường lực của bản thân",FabaoSkill_3,727,-1,-1,,"0,AmKhiHoThe",,,,,,,Active,SingleTargetBuff,-3,-1,false,90,false,false,0,0,1200,Self,0,300,1,-1,-1,true,dart_support_strength,NO_RESET,20
41,3,Ám khí hộ thể,Hỗ trợ bản thân,"Kỹ năng hộ thể của ám khí, tăng nội lực của bản thân",FabaoSkill_3,727,-1,-1,,"0,AmKhiHoThe",,,,,,,Active,SingleTargetBuff,-3,-1,false,90,false,false,0,0,1200,Self,0,300,1,-1,-1,true,dart_support_energy,NO_RESET,20
42,3,Ám khí hộ thể,Hỗ trợ bản thân,"Kỹ năng hộ thể của ám khí, tăng thể lực của bản thân",FabaoSkill_3,727,-1,-1,,"0,AmKhiHoThe",,,,,,,Active,SingleTargetBuff,-3,-1,false,90,false,false,0,0,1200,Self,0,300,1,-1,-1,true,dart_support_stamina,NO_RESET,20
43,3,Ám khí hộ thể,Hỗ trợ bản thân,"Kỹ năng hộ thể của ám khí, tăng trí lực của bản thân",FabaoSkill_3,727,-1,-1,,"0,AmKhiHoThe",,,,,,,Active,SingleTargetBuff,-3,-1,false,90,false,false,0,0,1200,Self,0,300,1,-1,-1,true,dart_support_intelligence,NO_RESET,20
44,3,Ám khí hộ thể,Hỗ trợ bản thân,"Kỹ năng hộ thể của ám khí, tăng thân pháp của bản thân",FabaoSkill_3,727,-1,-1,,"0,AmKhiHoThe",,,,,,,Active,SingleTargetBuff,-3,-1,false,90,false,false,0,0,1200,Self,0,300,1,-1,-1,true,dart_support_dexterity,NO_RESET,20
45,3,Ám khí hộ thể,Hỗ trợ bản thân,"Kỹ năng hộ thể của ám khí, tăng giới hạn máu của bản thân",FabaoSkill_3,727,-1,-1,,"0,AmKhiHoThe",,,,,,,Active,SingleTargetBuff,-3,-1,false,90,false,false,0,0,1200,Self,0,300,1,-1,-1,true,dart_support_hp_p,NO_RESET,20
46,3,Ám khí hộ thể,Hỗ trợ bản thân,"Kỹ năng hộ thể của ám khí, tăng giới hạn khí của bản thân",FabaoSkill_3,727,-1,-1,,"0,AmKhiHoThe",,,,,,,Active,SingleTargetBuff,-3,-1,false,90,false,false,0,0,1200,Self,0,300,1,-1,-1,true,dart_support_mp_p,NO_RESET,20
47,3,Ám khí hộ thể,Hỗ trợ bản thân,"Kỹ năng hộ thể của ám khí, tăng ngoại công của bản thân",FabaoSkill_3,727,-1,-1,,"0,AmKhiHoThe",,,,,,,Active,SingleTargetBuff,-3,-1,false,90,false,false,0,0,1200,Self,0,300,1,-1,-1,true,dart_support_physatk_p,NO_RESET,20
48,3,Ám khí hộ thể,Hỗ trợ bản thân,"Kỹ năng hộ thể của ám khí, tăng nội công của bản thân",FabaoSkill_3,727,-1,-1,,"0,AmKhiHoThe",,,,,,,Active,SingleTargetBuff,-3,-1,false,90,false,false,0,0,1200,Self,0,300,1,-1,-1,true,dart_support_magicatk_p,NO_RESET,20
49,3,Ám khí hộ thể,Hỗ trợ bản thân,"Kỹ năng hộ thể của ám khí, tăng ngoại thủ của bản thân",FabaoSkill_3,727,-1,-1,,"0,AmKhiHoThe",,,,,,,Active,SingleTargetBuff,-3,-1,false,90,false,false,0,0,1200,Self,0,300,1,-1,-1,true,dart_support_physdef_p,NO_RESET,20
50,3,Ám khí hộ thể,Hỗ trợ bản thân,"Kỹ năng hộ thể của ám khí, tăng nội thủ của bản thân",FabaoSkill_3,727,-1,-1,,"0,AmKhiHoThe",,,,,,,Active,SingleTargetBuff,-3,-1,false,90,false,false,0,0,1200,Self,0,300,1,-1,-1,true,dart_support_magicdef_p,NO_RESET,20
51,3,Ám khí hộ thể,Hỗ trợ bản thân,"Kỹ năng hộ thể của ám khí, lập tức phục hồi máu và khí cho bản thân",FabaoSkill_3,727,-1,-1,,"0,AmKhiHoThe",,,,,,,Active,SingleTargetBuff,-3,-1,false,90,false,false,0,0,1200,Self,0,300,1,-1,-1,true,dart_support_replenish,NO_RESET,20
101,4,Ngự Thể Chi Hồn (Cấp 1),Bị động,"Kỹ năng hộ thể của võ hồn, tăng cường phòng ngự của phòng cụ",WuhunSkill1_4,-1,-1,-1,,,,,,,,,Passive,None,-4,-1,false,30,false,false,0,0,0,Self,0,300,1,-1,-1,false,soul_first_skill_armor_defense_lv1,NO_RESET,20
102,4,Ngự Thể Chi Hồn (Cấp 2),Bị động,"Kỹ năng hộ thể của võ hồn, tăng cường phòng ngự của phòng cụ",WuhunSkill1_4,-1,-1,-1,,,,,,,,,Passive,None,-4,-1,false,30,false,false,0,0,0,Self,0,300,1,-1,-1,false,soul_first_skill_armor_defense_lv2,NO_RESET,20
103,4,Ngự Thể Chi Hồn (Cấp 3),Bị động,"Kỹ năng hộ thể của võ hồn, tăng cường phòng ngự của phòng cụ",WuhunSkill1_4,-1,-1,-1,,,,,,,,,Passive,None,-4,-1,false,30,false,false,0,0,0,Self,0,300,1,-1,-1,false,soul_first_skill_armor_defense_lv3,NO_RESET,20
104,4,Ngự Thể Chi Hồn (Cấp 4),Bị động,"Kỹ năng hộ thể của võ hồn, tăng cường phòng ngự của phòng cụ",WuhunSkill1_4,-1,-1,-1,,,,,,,,,Passive,None,-4,-1,false,30,false,false,0,0,0,Self,0,300,1,-1,-1,false,soul_first_skill_armor_defense_lv4,NO_RESET,20
105,4,Ngự Thể Chi Hồn (Cấp 5),Bị động,"Kỹ năng hộ thể của võ hồn, tăng cường phòng ngự của phòng cụ",WuhunSkill1_4,-1,-1,-1,,,,,,,,,Passive,None,-4,-1,false,30,false,false,0,0,0,Self,0,300,1,-1,-1,false,soul_first_skill_armor_defense_lv5,NO_RESET,20
106,4,Võ Dũng Chi Hồn (Cấp 1),Bị động,"Kỹ năng hộ thể của võ hồn, tăng cường tấn công của vũ khí trường đao, thương",WuhunSkill1_3,-1,-1,-1,,,,,,,,,Passive,None,-4,-1,false,30,false,false,0,0,0,Self,0,300,1,-1,-1,false,soul_first_skill_weapon_spear_lv1,NO_RESET,20
107,4,Võ Dũng Chi Hồn (Cấp 2),Bị động,"Kỹ năng hộ thể của võ hồn, tăng cường tấn công của vũ khí trường đao, thương",WuhunSkill1_3,-1,-1,-1,,,,,,,,,Passive,None,-4,-1,false,30,false,false,0,0,0,Self,0,300,1,-1,-1,false,soul_first_skill_weapon_spear_lv2,NO_RESET,20
108,4,Võ Dũng Chi Hồn (Cấp 3),Bị động,"Kỹ năng hộ thể của võ hồn, tăng cường tấn công của vũ khí trường đao, thương",WuhunSkill1_3,-1,-1,-1,,,,,,,,,Passive,None,-4,-1,false,30,false,false,0,0,0,Self,0,300,1,-1,-1,false,soul_first_skill_weapon_spear_lv3,NO_RESET,20
109,4,Võ Dũng Chi Hồn (Cấp 4),Bị động,"Kỹ năng hộ thể của võ hồn, tăng cường tấn công của vũ khí trường đao, thương",WuhunSkill1_3,-1,-1,-1,,,,,,,,,Passive,None,-4,-1,false,30,false,false,0,0,0,Self,0,300,1,-1,-1,false,soul_first_skill_weapon_spear_lv4,NO_RESET,20
110,4,Võ Dũng Chi Hồn (Cấp 5),Bị động,"Kỹ năng hộ thể của võ hồn, tăng cường tấn công của vũ khí trường đao, thương",WuhunSkill1_3,-1,-1,-1,,,,,,,,,Passive,None,-4,-1,false,30,false,false,0,0,0,Self,0,300,1,-1,-1,false,soul_first_skill_weapon_spear_lv5,NO_RESET,20
111,4,Hàn Phong Chi Hồn (Cấp 1),Bị động,"Kỹ năng hộ thể của võ hồn, tăng cường tấn công của vũ khí kiếm, song kiếm",WuhunSkill1_2,-1,-1,-1,,,,,,,,,Passive,None,-4,-1,false,30,false,false,0,0,0,Self,0,300,1,-1,-1,false,soul_first_skill_weapon_sword_lv1,NO_RESET,20
112,4,Hàn Phong Chi Hồn (Cấp 2),Bị động,"Kỹ năng hộ thể của võ hồn, tăng cường tấn công của vũ khí kiếm, song kiếm",WuhunSkill1_2,-1,-1,-1,,,,,,,,,Passive,None,-4,-1,false,30,false,false,0,0,0,Self,0,300,1,-1,-1,false,soul_first_skill_weapon_sword_lv2,NO_RESET,20
113,4,Hàn Phong Chi Hồn (Cấp 3),Bị động,"Kỹ năng hộ thể của võ hồn, tăng cường tấn công của vũ khí kiếm, song kiếm",WuhunSkill1_2,-1,-1,-1,,,,,,,,,Passive,None,-4,-1,false,30,false,false,0,0,0,Self,0,300,1,-1,-1,false,soul_first_skill_weapon_sword_lv3,NO_RESET,20
114,4,Hàn Phong Chi Hồn (Cấp 4),Bị động,"Kỹ năng hộ thể của võ hồn, tăng cường tấn công của vũ khí kiếm, song kiếm",WuhunSkill1_2,-1,-1,-1,,,,,,,,,Passive,None,-4,-1,false,30,false,false,0,0,0,Self,0,300,1,-1,-1,false,soul_first_skill_weapon_sword_lv4,NO_RESET,20
115,4,Hàn Phong Chi Hồn (Cấp 5),Bị động,"Kỹ năng hộ thể của võ hồn, tăng cường tấn công của vũ khí kiếm, song kiếm",WuhunSkill1_2,-1,-1,-1,,,,,,,,,Passive,None,-4,-1,false,30,false,false,0,0,0,Self,0,300,1,-1,-1,false,soul_first_skill_weapon_sword_lv5,NO_RESET,20
116,4,Thanh Dật Chi Hồn (Cấp 1),Bị động,"Kỹ năng hộ thể của võ hồn, tăng cường tấn công của vũ khí phiến, hoàn",WuhunSkill1_1,-1,-1,-1,,,,,,,,,Passive,None,-4,-1,false,30,false,false,0,0,0,Self,0,300,1,-1,-1,false,soul_first_skill_weapon_fan_circle_lv1,NO_RESET,20
117,4,Thanh Dật Chi Hồn (Cấp 2),Bị động,"Kỹ năng hộ thể của võ hồn, tăng cường tấn công của vũ khí phiến, hoàn",WuhunSkill1_1,-1,-1,-1,,,,,,,,,Passive,None,-4,-1,false,30,false,false,0,0,0,Self,0,300,1,-1,-1,false,soul_first_skill_weapon_fan_circle_lv2,NO_RESET,20
118,4,Thanh Dật Chi Hồn (Cấp 3),Bị động,"Kỹ năng hộ thể của võ hồn, tăng cường tấn công của vũ khí phiến, hoàn",WuhunSkill1_1,-1,-1,-1,,,,,,,,,Passive,None,-4,-1,false,30,false,false,0,0,0,Self,0,300,1,-1,-1,false,soul_first_skill_weapon_fan_circle_lv3,NO_RESET,20
119,4,Thanh Dật Chi Hồn (Cấp 4),Bị động,"Kỹ năng hộ thể của võ hồn, tăng cường tấn công của vũ khí phiến, hoàn",WuhunSkill1_1,-1,-1,-1,,,,,,,,,Passive,None,-4,-1,false,30,false,false,0,0,0,Self,0,300,1,-1,-1,false,soul_first_skill_weapon_fan_circle_lv4,NO_RESET,20
120,4,Thanh Dật Chi Hồn (Cấp 5),Bị động,"Kỹ năng hộ thể của võ hồn, tăng cường tấn công của vũ khí phiến, hoàn",WuhunSkill1_1,-1,-1,-1,,,,,,,,,Passive,None,-4,-1,false,30,false,false,0,0,0,Self,0,300,1,-1,-1,false,soul_first_skill_weapon_fan_circle_lv5,NO_RESET,20
121,4,Ưng Chuẩn Chi Hồn (Cấp 1),Bị động,"Kỹ năng hộ thể của võ hồn, tăng cường tấn công của vũ khí nỏ",WuhunSkill3_3,-1,-1,-1,,,,,,,,,Passive,None,-4,-1,false,30,false,false,0,0,0,Self,0,300,1,-1,-1,false,soul_first_skill_weapon_crossbow_lv1,NO_RESET,20
122,4,Ưng Chuẩn Chi Hồn (Cấp 2),Bị động,"Kỹ năng hộ thể của võ hồn, tăng cường tấn công của vũ khí nỏ",WuhunSkill3_3,-1,-1,-1,,,,,,,,,Passive,None,-4,-1,false,30,false,false,0,0,0,Self,0,300,1,-1,-1,false,soul_first_skill_weapon_crossbow_lv2,NO_RESET,20
123,4,Ưng Chuẩn Chi Hồn (Cấp 3),Bị động,"Kỹ năng hộ thể của võ hồn, tăng cường tấn công của vũ khí nỏ",WuhunSkill3_3,-1,-1,-1,,,,,,,,,Passive,None,-4,-1,false,30,false,false,0,0,0,Self,0,300,1,-1,-1,false,soul_first_skill_weapon_crossbow_lv3,NO_RESET,20
124,4,Ưng Chuẩn Chi Hồn (Cấp 4),Bị động,"Kỹ năng hộ thể của võ hồn, tăng cường tấn công của vũ khí nỏ",WuhunSkill3_3,-1,-1,-1,,,,,,,,,Passive,None,-4,-1,false,30,false,false,0,0,0,Self,0,300,1,-1,-1,false,soul_first_skill_weapon_crossbow_lv4,NO_RESET,20
125,4,Ưng Chuẩn Chi Hồn (Cấp 5),Bị động,"Kỹ năng hộ thể của võ hồn, tăng cường tấn công của vũ khí nỏ",WuhunSkill3_3,-1,-1,-1,,,,,,,,,Passive,None,-4,-1,false,30,false,false,0,0,0,Self,0,300,1,-1,-1,false,soul_first_skill_weapon_crossbow_lv5,NO_RESET,20
126,4,Ẩn Dật Chi Hồn (Cấp 1),Bị động,"Kỹ năng hộ thể của võ hồn, tăng cường tấn công của vũ khí trượng",WuhunSkill3_4,-1,-1,-1,,,,,,,,,Passive,None,-4,-1,false,30,false,false,0,0,0,Self,0,300,1,-1,-1,false,soul_first_skill_weapon_staff_lv1,NO_RESET,20
127,4,Ẩn Dật Chi Hồn (Cấp 2),Bị động,"Kỹ năng hộ thể của võ hồn, tăng cường tấn công của vũ khí trượng",WuhunSkill3_4,-1,-1,-1,,,,,,,,,Passive,None,-4,-1,false,30,false,false,0,0,0,Self,0,300,1,-1,-1,false,soul_first_skill_weapon_staff_lv2,NO_RESET,20
128,4,Ẩn Dật Chi Hồn (Cấp 3),Bị động,"Kỹ năng hộ thể của võ hồn, tăng cường tấn công của vũ khí trượng",WuhunSkill3_4,-1,-1,-1,,,,,,,,,Passive,None,-4,-1,false,30,false,false,0,0,0,Self,0,300,1,-1,-1,false,soul_first_skill_weapon_staff_lv3,NO_RESET,20
129,4,Ẩn Dật Chi Hồn (Cấp 4),Bị động,"Kỹ năng hộ thể của võ hồn, tăng cường tấn công của vũ khí trượng",WuhunSkill3_4,-1,-1,-1,,,,,,,,,Passive,None,-4,-1,false,30,false,false,0,0,0,Self,0,300,1,-1,-1,false,soul_first_skill_weapon_staff_lv4,NO_RESET,20
130,4,Ẩn Dật Chi Hồn (Cấp 5),Bị động,"Kỹ năng hộ thể của võ hồn, tăng cường tấn công của vũ khí trượng",WuhunSkill3_4,-1,-1,-1,,,,,,,,,Passive,None,-4,-1,false,30,false,false,0,0,0,Self,0,300,1,-1,-1,false,soul_first_skill_weapon_staff_lv5,NO_RESET,20
131,4,Thanh Dã Chi Hồn (Cấp 1),Bị động,"Kỹ năng hộ thể của võ hồn, tăng cường tấn công của vũ khí tiêu kiếm",WuhunSkill3_5,-1,-1,-1,,,,,,,,,Passive,None,-4,-1,false,30,false,false,0,0,0,Self,0,300,1,-1,-1,false,soul_first_skill_weapon_flute_lv1,NO_RESET,20
132,4,Thanh Dã Chi Hồn (Cấp 2),Bị động,"Kỹ năng hộ thể của võ hồn, tăng cường tấn công của vũ khí tiêu kiếm",WuhunSkill3_5,-1,-1,-1,,,,,,,,,Passive,None,-4,-1,false,30,false,false,0,0,0,Self,0,300,1,-1,-1,false,soul_first_skill_weapon_flute_lv2,NO_RESET,20
133,4,Thanh Dã Chi Hồn (Cấp 3),Bị động,"Kỹ năng hộ thể của võ hồn, tăng cường tấn công của vũ khí tiêu kiếm",WuhunSkill3_5,-1,-1,-1,,,,,,,,,Passive,None,-4,-1,false,30,false,false,0,0,0,Self,0,300,1,-1,-1,false,soul_first_skill_weapon_flute_lv3,NO_RESET,20
134,4,Thanh Dã Chi Hồn (Cấp 4),Bị động,"Kỹ năng hộ thể của võ hồn, tăng cường tấn công của vũ khí tiêu kiếm",WuhunSkill3_5,-1,-1,-1,,,,,,,,,Passive,None,-4,-1,false,30,false,false,0,0,0,Self,0,300,1,-1,-1,false,soul_first_skill_weapon_flute_lv4,NO_RESET,20
135,4,Thanh Dã Chi Hồn (Cấp 5),Bị động,"Kỹ năng hộ thể của võ hồn, tăng cường tấn công của vũ khí tiêu kiếm",WuhunSkill3_5,-1,-1,-1,,,,,,,,,Passive,None,-4,-1,false,30,false,false,0,0,0,Self,0,300,1,-1,-1,false,soul_first_skill_weapon_flute_lv5,NO_RESET,20
