RowIndex,Tag,ID,FactionID,RequireLevel,Name,Icon,Description,Type,CanDirectlyStudy,Order,Text,ChildrenJSON
12,Book,12,1,20,Minh Tôn Thánh Hỏa Công,XinFa1_12,"Một loại võ công quỷ quyệt do lão nhân Quắc Sơn sáng lập ra, khiến mục tiêu đánh sai phương hướng, làm cho mục tiêu không thể đề phòng. Sau khi tu luyện có thể nâng cao khí lên thượng hạn của đệ tử phái Minh Giáo.",1,true,6,,
13,Book,13,2,10,Thái Tổ Trường Quyền,XinFa1_13,"Một bộ quyền pháp do đương triều Thái Tổ Triệu Khuông Dân sáng lập ra, là một quyền pháp thịnh hành nhất ở thời Đại Tống. Sau khi tu luyện có thể nâng cao tỉ lệ chính xác của đệ tử phái Cái Bang.",6,true,1,,
14,Book,14,2,20,Địa Đường Công,XinFa1_14,"Những loại võ công pha lẫn với nhau trên giang hồ, chuyển phòng thủ thành công kích, khiến trong sự chết tìm ra được đường sống xót, là những chiêu thức tuy đơn  giản nhưng rất hữu dụng. Sau khi tu luyện có thể nâng cao tỉ lệ né tránh của đệ tử phái Cái Bang.",4,true,2,,
15,Book,15,2,20,Hàng Long Thập Bát Chưởng Thượng Quyển,XinFa1_15,"Thiên hạ đệ nhất chưởng pháp là loại võ công của phái Cái Bang được truyền đời này sang đời khác. Quyển trước của Hàng Long Thập Bát Chưởng chủ trọng về tình thế để phát ra kỹ năng, khiến mục tiêu không thể đỡ kip. Sau khi tu luyện có thể nâng cao lực sinh mạng của đệ tử Cái Bang.",0,true,3,,
16,Book,16,2,10,Cầm Long Công,XinFa1_16,"Một loại thần công đã được trên giang hồ bí mật lưu truyền, khi luyện đến một cảnh giới thượng hạn thì có thể đoạt vũ khí của đối phương. Sau khi tu luyện có thể nâng cao ngoại công lực phòng ngự của đệ tử phái Cái Bang.",7,true,4,,
17,Book,17,2,10,Khống Hạc Công,XinFa2_1,"Một loại thần công đã được trên giang hồ bí mật lưu truyền, khi luyện đến một cảnh giới thượng hạn thì có thể đánh xuyên vật cản, gây sát thương cho mục tiêu trong phạm vi 100 dặm. Sau khi tu luyện có thể nâng cao ngoại công công kích của đệ tử phái Cái Bang.",2,true,5,,
18,Book,18,2,20,Hàng Long Thập Bát Đường Hạ Quyển,XinFa2_2,"Thiên hạ đệ nhất chưởng pháp là loại võ công của phái Cái Bang được truyền đời này sang đời khác. Quyển sau của Hàng Long Thập Bát Chưởng chú trọng về nghịch thế để hành động, khiến mục tiêu không thể đỡ kịp. Sau khi tu luyện có thể nâng cao khí lên thượng hạn của đệ tử phái Cái Bang.",1,true,6,,
19,Book,19,3,10,Âm Dương Quyết,XinFa2_3,"Âm và Dương của đạo giáo là có mang tính tương sinh tương khắc, là đạo lý hỗ trợ càn khôn lẫn nhau. Sau khi tu luyện có thể nâng cao tỉ lệ chính xác của đệ tử phái Võ Đang.",6,true,1,,
20,Book,20,3,20,Loạn Hoàn Quyết,XinFa2_4,"Đạo giáo thường nói Loạn Hoàn tức là hàng trăm biến hoa đều tồn tại từ trong trái tim, xuất nhập công thủ đều có đạo lý khác nhau. Sau khi tu luyện có thể nâng cao tỷ nệ né tránh của đệ tử phái Võ Đang.",4,true,2,,
21,Book,21,3,20,Hư Thực Quyết,XinFa2_5,"Đạo giáo thường nói Hư Thực tức là tránh nặng tìm nhẹ, lẫn tránh sự thực đi tìm cái hư vô. Sau khi tu luyện có thể nâng cao lực sinh mạng của đệ tử phái Võ Đang.",0,true,3,,
22,Book,22,3,10,Thái Cực Kiếm Pháp,XinFa2_6,"Một loại kiếm pháp được tu tập lại từ các võ học của đạo giáo, coi trọng về tinh thần sử dụng kiếm pháp kéo dài vô tận. Sau khi tu luyện có thể nâng cao nội công lực phòng ngự của đệ tử Võ Đang.",7,true,4,,
23,Book,23,3,10,Thái Cực Quyền Pháp,XinFa2_7,"Một loại quyền pháp được tu thập lại từ các võ học của đạo giáo, coi trọng về thái cực viên chuyển, chỉ dùng ý, không dùng lực. Sau khi tu luyện có thể nâng cao nội công lực công kích của đệ tử phái Võ Đang.",3,true,5,,
24,Book,24,3,20,Nam Hoa Kinh,XinFa2_8,Võ học thiên nhân hợp nhất là kiệt tác của Tiên Hiền Trang Tử. Sau khi tu luyện có thể nâng cao khí lên thượng hạn của đệ tử phái Võ Đang.,1,true,6,,
25,Book,25,4,10,Thần Nữ Quyền Pháp,XinFa2_9,"Võ công của phái Nga My được cho là loại võ công kỳ diệu và vừa đẹp mắt, mỗi một chiêu thức đều có nguồn gốc của một cô gái xinh đẹp ở thời Cổ Đại. Sau khi tu luyện có thể nâng cao tỉ lệ chính xác của đệ tử phái Nga My.",6,true,1,,
26,Book,26,4,20,Thần Hữu Kinh,XinFa2_10,"Là cuốn tâm pháp cao thượng nhất của phật môn, chú trọng về hộ thể phòng thân. Sau khi tu luyện có thể nâng cao tỉ lệ né tránh của đệ tử phái Nga My.",4,true,2,,
27,Book,27,4,20,Tẩy Tủy Kinh,XinFa2_11,"Là kiệt tác củaThiềmTông Đạt Ma Tổ Sư, là loại võ học sử dụng Tẩy Tủy Dịch Cân để khử tà diệt ma. Sau khi tu luyện có thể nâng cao lực sinh mạng của đệ tử phái Nga My.",0,true,3,,
28,Book,28,4,10,Thục Nữ Kiếm Pháp,XinFa2_12,"Là loại kiếm pháp bí truyền do tiền bối nử hiệp của phái Nga My sáng lập ra, chiêu thức kiếm pháp nhẹ nhàng linh động, chuyên về phòng thủ. Sau khi tu luyện có thể nâng cao nội công lực phòng ngự của đệ tử phái Nga My.",7,true,4,,
29,Book,29,4,10,Quân Tử Kiếm Pháp,XinFa2_13,"Là loại kiếm pháp bí truyền do tiền bối nữ hiệp của phái Nga My sáng lập ra, kiếm pháp thanh nhã và nhất dứt khoát, chuyên về tấn công. Sau khi tu luyện xong có thể nâng cao nội công lực công kích của đệ tử phái Nga My.",3,true,5,,
30,Book,30,4,20,Ảm Nhiên Biệt Ly Chưởng,XinFa2_14,"Là loại võ công không truyền ra ngoài của phái Nga My, uy lực bình thường, chỉ có khi nào gặp tình trạng sinh ly tử biệt thì loại võ công này mới bạo phát ra uy lực kinh thiên động địa. Sau khi tu luyện xong có thê nâng cao khí lên thượng hạn của đệ tử phái Nga My.",1,true,6,,
31,Book,31,5,10,Hủ Thi Công,XinFa2_15,"Là loại võ công do Tinh Túc lão tiên Đinh Xuân Thu sáng lập ra, sử dụng những độc thi để lâu để làm thành chất độc và tấn công mục tiêu, khiến đối thủ không thể trốn tránh. Sau khi tu luyện có thể nâng cao tỉ lệ chính xác của đệ tử phái Tinh Túc.",6,true,1,,
32,Book,32,5,20,Ngũ Độc Công,XinFa2_16,"Là loại thần công được hình thành bởi 5 loại chất độc, nghe nói loại thần công này có nguồn gốc ở Nam Phương tên là Ngũ Độc Giáo. Sau khi tu luyện có thể nâng cao tỉ lệ né tránh của đệ tử phái Tinh Túc.",4,true,2,,
33,Book,33,5,20,Tam Tiếu Tiêu Dao Tán,XinFa3_1,"Kỳ Môn Độc Thuật được sáng lập ra bởi Tinh Túc lão tiên Đinh Xuân Thu, với thủ đoạn quỷ quyệt và sử dụng chất độc bá đạo để tiêu diệt đối thủ. Sau khi tu luyện có thể nâng cao lực sinh mạng của đệ tử phái Tinh Túc.",0,true,3,,
34,Book,34,5,10,Thần Mộc Công,XinFa3_2,"Một trong 3 loại tam bảo của Thần Mộc Vương Đỉnh trong phái Tinh Túc, ẩn chứa một Bí Kíp võ công đã thất truyền từ lâu. Sau khi tu luyện có thể nâng cao nội công lực phòng ngự của đệ tử phái Tinh Túc.",7,true,4,,
35,Book,35,5,10,Thánh Thủy Kinh,XinFa3_3,"Một trong 3 loại tam bảo của Thánh Thủy Vương Tôn trong phái Tinh Túc, ẩn chứa một Bí Kíp võ công đã thất truyền từ lâu. Sau khi tu luyện có thể nâng cao nội công lực công kích của đệ tử phái Tinh Túc.",3,true,5,,
36,Book,36,5,20,Bính Mệnh Tam Thức,XinFa3_4,"Phanh Mệnh Tam Thức, với loại chiêu thức này muốn cùng đối thủ chết chung. Sau khi tu luyện có thể nâng cao khí lên thượng hạn của đệ tử phái Tinh Túc.",1,true,6,,
37,Book,37,6,10,Nhất Dương Chỉ Chỉ Pháp,XinFa3_5,"Gia truyền tuyệt học của Đoàn Thị ở nước Đại Lý, vận hành nội lực toàn thân tập trung vào đầu ngón tay, sử dụng Nhất Dương Chỉ để kích bại đối thủ. Sau khi tu luyện có thể nâng cao tỉ lệ né tránh của đệ tử phái Thiên Long.",6,true,1,,
38,Book,38,6,20,Đại Lý Binh Pháp,XinFa3_6,"Tiên tổ của Đoàn Thị ở nước Đại Lý đã sáng lập ra một binh pháp chuyên về khắc phục đối thủ, đã cho thế hệ sau làm dụng binh pháp này trong võ học. Sau khi tu luyện có thể nâng cao nội công lực phòng ngự của đệ tử phái Thiên Long.",4,true,2,,
39,Book,39,6,20,Đạo Dẫn Thuật,XinFa3_7,"Một loại võ công chuyên dùng hô hấp để luyện khí, giúp cho cơ thể trở nên cường tráng. Sau khi tu luyện có thể nâng cao lực sinh mạng của đệ tử phái Thiên Long.",0,true,3,,
40,Book,40,6,10,Đoàn Gia Quyền Pháp,XinFa3_8,"Loại quyền pháp bí truyền của Đoàn Thị, cao quý điển nhã, chính đại quang minh, vốn có một phong thái uy nghiêm của hoàng tộc. Sau khi tu luyện tu luyện có thể nâng cao ngoại công lực phòng ngự của đệ tử phái Thiên Long.",7,true,4,,
41,Book,41,6,10,Đoàn Gia Kiếm Pháp,XinFa3_9,"Kiếm pháp bí truyền của Đoàn Thị, tấn và lui đều có phương hướng, vốn có một phong thái uy nghiêm của hoàng tộc. Sau khi tu luyện có thể nâng cao ngoại công công kích của đệ tử Thiên Long.",2,true,5,,
42,Book,42,6,20,Khô Thiền,XinFa3_10,"Thần công của Thiên Long Tự được truyền đời này sang đời khác, tịnh tọa tham thiền, tâm vô bàng vụ, nội công và phật pháp hòa nguyện vào nhau dẫn đến một cảnh giới siêu phàm. Sau khi tu luyện có thể nâng cao khí lên thượng hạn của đệ tử phái Thiên Long.",1,true,6,,
43,Book,43,7,10,Linh Tựu Công,XinFa3_11,"Là loại thần công được tu tập lại từ các động tác của chim đại bàng, xuất chiêu độc ác, không một chút nhân tình. Sau khi tu luyện có thể nâng cao tỉ lệ chính xác của đệ tử phái Thiên Sơn.",6,true,1,,
44,Book,44,7,20,Tiểu Vô Tướng Công,XinFa3_12,"Thần Du Thái Hư có nguồn gốc từ đạo giáo, ý niệm thanh tịnh, lúc xuất và lúc thu hồi đều không để lại dấu tích. Sau khi tu luyện có thể nâng cao tỉ lệ né tránh của đệ tử phái Thiên Sơn.",4,true,2,,
45,Book,45,7,20,Quy Tức Công,XinFa3_13,"Tiềm tâm tiềm tức có nguồn gốc từ đạo giáo, chuyên về nín thở, khiến hơi thở của chính mình giảm xuống mức thấp nhất. Sau khi tu luyện có thể nâng cao lực sinh mạng của đệ tử phái Thiên Sơn.",0,true,3,,
46,Book,46,7,10,Thiên Sơn Dung Tuyết Công,XinFa3_14,Nội công tâm pháp bí truyền của phái Thiên Sơn. Sau khi tu luyện có thể nâng cao ngoại công lực phòng ngự của đệ tử phái Thiên Sơn.,7,true,4,,
47,Book,47,7,10,Thiên Sơn Chiết Mai Thủ,XinFa3_15,"Bí truyền Cầm Nã Thủ Pháp của phái Thiên Sơn, sau khi tu luyện có thể nâng cao ngoại công công kích của đệ tử phái Thiên Sơn.",2,true,5,,
48,Book,48,7,20,Thiên Sơn Lục Dương Chưởng,XinFa3_16,"Thần công tuyệt học của phái Tiêu Dao, đã được làm sáng danh thông qua Linh Tựu Cung, uy lực của phái này đã lừng danh thiên hạ, chỉ có người ngoài không biết mà thôi. Sau khi tu luyện có thể nâng cao khí lên thượng hạn của đệ tử phái Thiên Sơn.",1,true,6,,
49,Book,49,8,10,Bách Hoa Kinh,XinFa4_1,"Nghe nói có nguồn gốc ở Thành Đường, sử dụng trăm hoa làm đường dẫn lối, sử dụng nội lực để bố trận, khiến địch thủ rơi vào trong trận không lối thoát. Sau khi tu luyện có thể nâng cao tỉ lệ chính xác của đệ tử phái Tiêu Dao.",6,true,1,,
50,Book,50,8,20,Độn Giáp Thiên Thư,XinFa4_2,"Thời kỳ tam quốc Tã Niềm Tiên Nhân đã ghi nhận lại kỳ môn độn giáp, với phép thuật trăm biến vạn hóa. Sau khi tu luyện có thể nâng cao tỉ lệ né tránh của đệ tử phái Tiêu Dao.",4,true,2,,
51,Book,51,8,20,Thái Bình Yếu Thuật,XinFa4_3,"Thời kỳ tam quốc Nam Hoa Lão Tiên đã ghi nhận lại việc gọi gió gọi mưa, 1 phép thuật khiến mục tiêu bị lờ mờ chẳng biết gì. Sau khi tu luyện có thể nâng cao lực sinh mạng của đệ tử phái Tiêu Dao.",0,true,3,,
52,Book,52,8,10,Đoản Ca Hành,XinFa4_4,Tổ sư của phái Tiêu Dao trong âm nhạc ca từ đã lãnh ngộ ra võ công tâm pháp. Sau khi tu luyện có thể nâng cao nội công lực phòng ngự của đệ tử phái Tiêu Dao.,7,true,4,,
53,Book,53,8,10,Đan Thanh Dẫn,XinFa4_5,Tổ sư của phái Tiêu Dao đã lãnh ngộ ra võ công tâm pháp từ những bức tranh. Sau khi tu luyện có thể nâng cao nội công lực công kích của đệ tử phái Tiêu Dao.,3,true,5,,
54,Book,54,8,20,Kinh Đào Chưởng Pháp,XinFa4_6,"Những năm gần đây loại thần công lừng danh thiên hạ, không có một ai nào biết được lai lịch của nó. Sau khi tu luyện có thể nâng cao khí lên thượng hạn của đệ tử phái Tiêu Dao,",1,true,6,,
55,Book,55,0,35,Dịch Cân Kinh,XinFa4_7,"Là kiệt tác của Đạt Ma Tổ Sư, là đệ nhất tuyệt học của Thiếu Lâm. Sau khi tu luyện có thể nâng cao tỉ lệ hội tâm nhất kích của đệ tử phái Thiếu Lâm.",8,false,7,,
56,Book,56,1,35,Cửu Dương Thiên Thư,XinFa4_8,"Loại sách chân kinh này được cất chứa trong quyển kinh thứ 4 Lăng Gia Kinh của Đạt Ma, gần mười mấy năm nay được Minh Giáo sở hữu. Sau khi tu luyện có thể nâng cao tỉ lệ hội tâm nhất kích của đệ tử phái Minh Giáo.",8,false,7,,
57,Book,57,2,35,Đả Cẩu Bổng Pháp,XinFa4_9,"Võ công Cái Bang do tổ sư gia của Cái Bang sáng lập, cái tên tuy nghe không được hay, nhưng chiêu thức thiên biến vạn hóa. Sau khi tu luyện có thể nâng cao tỉ lệ hội tâm nhất kích của đệ tử phái Cái Bang.",8,false,7,,
58,Book,58,3,35,Tiên Thiên Công,XinFa4_10,"Phương pháp luyện khí bằng hô hấp được đạo giáo của Xích Tồng Tử sáng lập, có thể tụ tập tam bảo nguyên khí, nguyên thần, nguyên tinh . Sau khi tu luyện có thể nâng cao tỉ lệ hội tâm nhất kích của đệ tử phái Võ Đang.",8,false,7,,
59,Book,59,4,35,Cửu Âm Thiên Thư,XinFa4_11,"Lưng danh thiên hạ của võ học chi bảo, nghe nói có nguồn gốc từ Đạo Tàng, nội dung bác đại tinh thâm,bao hàm nội công và ngoại công. Sau khi tu luyện có thể nâng cao tỉ lệ hội tâm nhất kích của đệ tử phái Nga My.",8,false,7,,
60,Book,60,5,35,Hóa Công Đại Pháp,XinFa4_12,"Bắc Minh Thần Công của phái Tiêu Dao là loại võ công bá đạo nhất, có thể làm nội lực của đối thủ tiêu tan. Sau khi tu luyện có thể nâng cao tỉ lệ hội tâm nhất kích của đệ tử phái Tinh Túc.",8,false,7,,
61,Book,61,6,35,Lục Mạch Thần Kiếm,XinFa4_13,"Đệ nhất kiếm pháp của Thiên Long Tự uy lực vô cùng, vận dụng nội lực thâm hậu tạo thành kiếm khí vô hình gây sát thương cho mục tiêu. Sau khi tu luyện có thể nâng cao tỉ lệ hồi tâm nhất kích của đệ tử phái Thiên Long.",8,false,7,,
62,Book,62,7,35,Sinh Tử Phù,XinFa4_14,"Trấn cung chi bảo của Linh Tựu Cung sử dụng lực lượng của Thiên Sơn Lục Dương để hóa thủy thành băng, làm cho mục tiêu bị phong tỏa kinh mạch. Sau khi tu luyện có thể nâng cao tỉ lệ hồi tâm nhất kích của đệ tử phái Thiên Sơn.",8,false,7,,
63,Book,63,8,35,Bắc Minh Thần Công,XinFa4_15,Thần công tuyệt thế của phái Tiêu Dao chủ yếu là tích lũy nội lực. Sau khi tu luyện có thể nâng cao tỉ lệ hồi tâm nhất kích của đệ tử phái Tiêu Dao.,8,false,7,,
64,Book,64,10,10,Giang Nam Kiếm Quyết,FightSkillMurong1_6,"Thế gia của Mộ Dung quanh năm đều sống tại Giang nam, dựa vào dòng suối chảy ở Giang Nam, đã sáng lập ra chiêu thức kiếm pháp nhẹ như chim én. Sau khi tu luyện có thể nâng cao tỉ lệ chính xác của đệ tử phái Mộ Dung.",6,true,1,,
65,Book,65,10,20,Sát Trường Quyết,FightSkillMurong_14,"Đệ tử Mộ Dung chinh chiến nhiều năm, luyện được võ công diệt địch, vô song thần dũng. Tu luyện giúp tăng tỉ lệ né của đệ tử Mộ Dung.",4,true,2,,
66,Book,66,10,20,Viêm Dương Tâm Pháp,FightSkillMurong_5,"Thế gia Mộ Dung sở hữu một nội lực bá đạo, mỗi khi triển khai kỹ năng này làm mình trở nên tàn bạo hung ác, không có ai dám đối mặt với chính mình. Sau khi tu luyện có thể nâng cao lực sinh mạng của đệ tử phái Mộ Dung.",0,true,3,,
67,Book,67,10,10,Thanh Vân Bí Tịch,FightSkillMurong_15,"Tiền bối của thế gia Mộ Dung trong lúc đang quan sát các đám mây trên bầu trời đã lãnh ngộ ra 1 loại công pháp, sau khi thi triển kỹ năng này khiến cho đối thủ phải rơi vào những đám mây sương mù mịt mờ, không phân biệt được phương hướng. Sau khi tu luyện có thể nâng cao nội công lực phòng ngự của đệ tử phái Mộ Dung.",7,true,4,,
68,Book,68,10,10,Sương Lĩnh Kiếm Thuật,FightSkillMurong_13,"Đã từng thấy qua kiếm thuật của Lĩnh Nam, do thế gia Mộ Dung lưu truyền lại cho đệ tử, với chiêu thức dứt khoát. Sau khi tu luyện có thể nâng cao nội công lực công kích của đệ tử phái Mộ Dung.",3,true,5,,
69,Book,69,10,20,Tinh Nguyệt Yêu Thuật,FightSkillMurong_7,"Thế gia Mộ Dung đã dựa vào những bối quẽ quan sát các ngôi sao trên bầu trời, đã lãnh ngộ ra thiên địa đạo lý luân hồi. Khi thi triển kỹ năng này giống như các ngôi sao từ trên trời rơi xuống. Sau khi tu luyện có thể nâng cao khí lên thượng hạn của đệ tử phái Mộ Dung.",1,true,6,,
70,Book,70,10,35,Tinh Tuyền Kiếm Điển,XinFa5_1,"Trấn trang tuyệt học của thế gia Mộ Dung, đã lãnh ngộ ra lực lượng của thiên địa càn khôn, có thể mượn lực lượng của thên địa trở thành lực lượng của chính mình. Sau khi tu luyện có thể nâng cao tỉ lệ hồi tâm nhất kích của đệ tử phái Mộ Dung. ",8,false,7,,
71,Book,71,10,80,Độn Dân Điển Bí,FightSkillaoyi_3,"Ghi nhận lại tất cả bí tích võ học tâm đắc của các tiền bối phái Mộ Dung, võ học tinh túy, đại đạo quy nhất. Sau khi tu luyện có thể nâng cao lực sinh mạng của đệ tử phái Mộ Dung.",0,false,8,,
72,Book,72,0,80,Huyền Cương Điển Bí,FightSkillaoyi_6,"Ghi nhận lại tất cả bí tích võ học tâm đắc của các tiền bối phái Thiếu Lâm, võ học tinh túy, đại đạo quy nhất. Sau khi tu luyện có thể nâng cao lực sinh mạng của đệ tử phái Thiếu Lâm.",0,false,8,,
73,Book,73,1,80,Thiên Thần Điển Bí,FightSkillaoyi_4,"Ghi nhận lại tất cả bí tích võ học tâm đắc của các tiền bối phái Minh Giáo, võ học tinh túy. Sau khi tu luyện có thể nâng cao lực sinh mạng của đệ tử phái Minh Giáo.",0,false,8,,
74,Book,74,2,80,Địa Vẫn Điển Bí,FightSkillaoyi_2,"Ghi nhận lại tất cả bí tích võ học tâm đắc của các tiền bối phái Cái Bang, võ học tinh túy. Sau khi tu luyện có thể nâng cao lực sinh mạng của đệ tử phái Cái Bang.",0,false,8,,
75,Book,75,3,80,Trụ Khung Điển Bí,FightSkillaoyi_8,"Ghi nhận lại tất cả bí tích võ học tâm đắc của các tiền bối phái Võ Đang, võ học tinh túy. Sau khi tu luyện có thể nâng cao lực sinh mạng của đệ tử phái Võ Đang.",0,false,8,,
76,Book,76,4,80,Hỗn Mang Điển Bí,FightSkillaoyi_1,"Ghi nhận lại tất cả bí tích võ học tâm đắc của các tiền bối phái Nga My, võ học tinh túy. Sau khi tu luyện có thể nâng cao lực sinh mạng của đệ tử phái Nga My.",0,false,8,,
77,Book,77,5,80,Hoang Lũy Điển Bí,FightSkillaoyi_10,"Ghi nhận lại tất cả bí tích võ học tâm đắc của các tiền bối phái Tinh Túc, võ học tinh túyt. Sau khi tu luyện có thể nâng cao lực sinh mạng của đệ tử phái Tinh Túc.",0,false,8,,
78,Book,78,6,80,Hoàng Sầm Điển Bí,FightSkillaoyi_5,"Ghi nhận lại tất cả bí tích võ học tâm đắc của các tiền bối phái Thiên Long, võ học tinh túy. Sau khi tu luyện có thể nâng cao lực sinh mạng của đệ tử phái Thiên Long.",0,false,8,,
79,Book,79,7,80,Hồng Tinh Điển Bí,FightSkillaoyi_7,"Ghi nhận lại tất cả bí tích võ học tâm đắc của các tiền bối phái Thiên Sơn, võ học tinh túy. Sau khi tu luyện có thể nâng cao lực sinh mạng của đệ tử phái Thiên Sơn.",0,false,8,,
80,Book,80,8,80,Vũ Cực Điển Bí,FightSkillaoyi_9,"Ghi nhận lại tất cả bí tịch võ học tâm đắc của các tiền bối phái Tiêu Dao, võ học tinh túy. Sau khi tu luyện có thể nâng cao lực sinh mạng của đệ tử phái Tiêu Dao.",0,false,8,,
81,Book,81,11,10,Bích Thiên Tiễn Quyết,XinFa5_8,"Tiễn quyết lưu truyền ngàn năm của Đường Môn, tụ khí kình vào mũi tên, sức mạnh vô địch. Tu luyện giúp tăng tỉ lệ chính xác của đệ tử Đường Môn.",6,true,1,,
82,Book,82,11,20,Võng Lượng Quyết,XinFa5_6,"Tiền bối Đường Môn kết hợp thế tấn công của mãnh thú với bộ pháp bát quái của đạo gia, nghiên cứu ra môn khinh công chí cao. Tu luyện giúp tăng tỉ lệ né tránh của đệ tử Đường Môn.",4,true,2,,
83,Book,83,11,20,Vô Ngã Tâm Kinh,XinFa5_7,"Tâm pháp lưu truyền ngàn năm của Đường Môn, chỉ khi thấm nhuần tổ huấn Thiên Hạ Duy Ngã của Đường Môn mới có thể phát huy đến tối đa. Tu luyện giúp tăng sinh lực của đệ tử Đường Môn.",0,true,3,,
84,Book,84,11,10,Cửu Biến Bí Chương,XinFa5_4,"Võ học hàm chứa tinh túy Thiên Cơ Cửu Biến của Mặc Gia, truyền rằng khi đạt đến đại thành, có thể thúc đẩy cơ thể thích ứng với mọi hoàn cảnh, giúp đứng vào thế bất bại. Tu luyện giúp tăng nội thủ của đệ tử Đường Môn.",7,true,4,,
85,Book,85,11,10,Phong Lôi Tứ Thức,XinFa5_3,"Võ học uy lực mạnh nhất thế gian, mỗi chiêu thức như sấm sét, gió bão, sức sát thương không gì bằng. Tu luyện giúp tăng nội công của đệ tử Đường Môn.",3,true,5,,
86,Book,86,11,20,Mạn Thiên Hoa Vũ,XinFa5_5,"Thủ pháp ám khí lưu truyền ngàn năm của Đường Môn, ám khí bắn ra không ai tránh kịp, kẻ dám đối địch ắt không thể sống sót. Tu luyện giúp tăng giới hạn khí của đệ tử Đường Môn.",1,true,6,,
87,Book,87,11,35,Ngũ Độc Kỳ Kinh,XinFa5_2,"Tác phẩm của môn chủ Đường Môn đời đầu, là võ học chí cao trong võ lâm, trong đó ghi chép thuật dùng độc, thuật cơ quan, và các chiêu thức bá đạo phi phàm. Tu luyện giúp tăng tỉ lệ chí mạng của đệ tử Đường Môn.",8,false,7,,
88,Book,88,11,80,Huyễn Nhật Điển Bí,FightSkillaoyi_11,"Bí tịch ghi chép tâm đắc võ học của cao thủ Đường Môn, nắm được tinh túy ắt sẽ đại thành. Tu luyện giúp tăng sinh lực của đệ tử Đường Môn.",0,false,8,,
