RowIndex,Tag,GroupID,ID,Sex,Name,Description,ReputeID,Points,DurationHours,Text,ChildrenJSON
12,Title,1,14,1,Quang Minh Thánh Sứ,"Đệ tử cao cấp Minh Giáo, có nhiều công lao hiển hách chiến đấu vì môn phái, là một thành phần không thể thiếu được đối với với môn phái.",2,5000,-1,,
13,Title,1,15,0,Minh Giáo Hiệp Nữ,"Đệ tử nhập môn Minh Giáo, được mang danh môn phái đi hành hiệp trượng nghĩa trong giang hồ.",2,0,-1,,
14,Title,1,16,0,Thủ Hỏa Hiệp Nữ,"Đệ tử sơ cấp Minh Giáo, có chút đóng góp cho môn phái.",2,1000,-1,,
15,Title,1,17,0,Hộ Giáo Tán Nhân,"Đệ tử trung cấp Minh Giáo, có nhiều công lao đóng góp cho môn phái.",2,2500,-1,,
16,Title,1,18,0,Quang Minh Thánh Nữ,"Đệ tử cao cấp Minh Giáo, có nhiều công lao hiển hách chiến đấu vì môn phái, là một thành phần không thể thiếu được đối với với môn phái.",2,5000,-1,,
17,Title,1,21,1,Cái Bang Hiệp Sỹ,"Đệ tử nhập môn Cái Bang, được mang danh môn phái đi hành hiệp trượng nghĩa trong giang hồ.",3,0,-1,,
18,Title,1,22,1,Thanh Liên Đệ Tử,"Đệ tử sơ cấp Cái Bang, có chút đóng góp cho môn phái.",3,1000,-1,,
19,Title,1,23,1,Huyền Võ Trưởng Lão,"Đệ tử trung cấp Cái Bang, có nhiều công lao đóng góp cho môn phái.",3,2500,-1,,
20,Title,1,24,1,Chưởng Bang Long Đầu,"Đệ tử cao cấp Cái Bang, có nhiều công lao hiển hách chiến đấu vì môn phái, là một thành phần không thể thiếu được đối với với môn phái.",3,5000,-1,,
21,Title,1,25,0,Cái Bang Hiệp Nữ,"Đệ tử nhập môn Cái Bang, được mang danh môn phái đi hành hiệp trượng nghĩa trong giang hồ.",3,0,-1,,
22,Title,1,26,0,Bạch Liên Đệ Tử,"Đệ tử sơ cấp Cái Bang, có chút đóng góp cho môn phái.",3,1000,-1,,
23,Title,1,27,0,Chu Tước Trưởng Lão,"Đệ tử trung cấp Cái Bang, có nhiều công lao đóng góp cho môn phái.",3,2500,-1,,
24,Title,1,28,0,Chưởng Bát Long Nữ,"Đệ tử cao cấp Cái Bang, có nhiều công lao hiển hách chiến đấu vì môn phái, là một thành phần không thể thiếu được đối với với môn phái.",3,5000,-1,,
25,Title,1,31,1,Võ Đang Hiệp Sỹ,"Đệ tử nhập môn Võ Đang, được mang danh môn phái đi hành hiệp trượng nghĩa trong giang hồ.",4,0,-1,,
26,Title,1,32,1,Thanh Minh Cư Sỹ,"Đệ tử sơ cấp Võ Đang, có chút đóng góp cho môn phái.",4,1000,-1,,
27,Title,1,33,1,Vô Vi Chân Nhân,"Đệ tử trung cấp Võ Đang, có nhiều công lao đóng góp cho môn phái.",4,2500,-1,,
28,Title,1,34,1,Võ Đang Thiên Tôn,"Đệ tử cao cấp Võ Đang, có nhiều công lao hiển hách chiến đấu vì môn phái, là một thành phần không thể thiếu được đối với với môn phái.",4,5000,-1,,
29,Title,1,35,0,Võ Đang Hiệp Nữ,"Đệ tử nhập môn Võ Đang, được mang danh môn phái đi hành hiệp trượng nghĩa trong giang hồ.",4,0,-1,,
30,Title,1,36,0,Bạch Vân Cư Sỹ,"Đệ tử sơ cấp Võ Đang, có chút đóng góp cho môn phái.",4,1000,-1,,
31,Title,1,37,0,Thanh Tĩnh Tán Nhân,"Đệ tử trung cấp Võ Đang, có nhiều công lao đóng góp cho môn phái.",4,2500,-1,,
32,Title,1,38,0,Võ Đang Tiên Tử,"Đệ tử cao cấp Võ Đang, có nhiều công lao hiển hách chiến đấu vì môn phái, là một thành phần không thể thiếu được đối với với môn phái.",4,5000,-1,,
33,Title,1,41,1,Nga My Hiệp Sỹ,"Đệ tử nhập môn Nga My, được mang danh môn phái đi hành hiệp trượng nghĩa trong giang hồ.",5,0,-1,,
34,Title,1,42,1,Thanh Phong Cư Sỹ,"Đệ tử sơ cấp Nga My, có chút đóng góp cho môn phái.",5,1000,-1,,
35,Title,1,43,1,Ngọc Long Hiệp Sỹ,"Đệ tử trung cấp Nga My, có nhiều công lao đóng góp cho môn phái.",5,2500,-1,,
36,Title,1,44,1,Nga My Tiên Nhân,"Đệ tử cao cấp Nga My, có nhiều công lao hiển hách chiến đấu vì môn phái, là một thành phần không thể thiếu được đối với với môn phái.",5,5000,-1,,
37,Title,1,45,0,Nga My Hiệp Nữ,"Đệ tử nhập môn Nga My, được mang danh môn phái đi hành hiệp trượng nghĩa trong giang hồ.",5,0,-1,,
38,Title,1,46,0,Nhật Nguyệt Cư Sỹ,"Đệ tử sơ cấp Nga My, có chút đóng góp cho môn phái.",5,1000,-1,,
39,Title,1,47,0,Kim Phong Hiệp Nữ,"Đệ tử trung cấp Nga My, có nhiều công lao đóng góp cho môn phái.",5,2500,-1,,
40,Title,1,48,0,Nga My Tiên Tử,"Đệ tử cao cấp Nga My, có nhiều công lao hiển hách chiến đấu vì môn phái, là một thành phần không thể thiếu được đối với với môn phái.",5,5000,-1,,
41,Title,1,51,1,Tinh Túc Hiệp Sỹ,"Đệ tử nhập môn Tinh Túc, được mang danh môn phái đi hành hiệp trượng nghĩa trong giang hồ.",6,0,-1,,
42,Title,1,52,1,Hành Ôn Lang Quân,"Đệ tử sơ cấp Tinh Túc, có chút đóng góp cho môn phái.",6,1000,-1,,
43,Title,1,53,1,Thúc Mệnh Phán Quan,"Đệ tử trung cấp Tinh Túc, có nhiều công lao đóng góp cho môn phái.",6,2500,-1,,
44,Title,1,54,1,Độc Thủ Y Tiên,"Đệ tử cao cấp Tinh Túc, có nhiều công lao hiển hách chiến đấu vì môn phái, là một thành phần không thể thiếu được đối với với môn phái.",6,5000,-1,,
45,Title,1,55,0,Tinh Túc Hiệp Nữ,"Đệ tử nhập môn Tinh Túc, được mang danh môn phái đi hành hiệp trượng nghĩa trong giang hồ.",6,0,-1,,
46,Title,1,56,0,Hành Ôn Nương Tử,"Đệ tử sơ cấp Tinh Túc, có chút đóng góp cho môn phái.",6,1000,-1,,
47,Title,1,57,0,Đoạt Mệnh Dạ Xoa,"Đệ tử trung cấp Tinh Túc, có nhiều công lao đóng góp cho môn phái.",6,2500,-1,,
48,Title,1,58,0,Độc Thủ Dược Vương,"Đệ tử cao cấp Tinh Túc, có nhiều công lao hiển hách chiến đấu vì môn phái, là một thành phần không thể thiếu được đối với với môn phái.",6,5000,-1,,
49,Title,1,61,1,Thiên Long Hiệp Sỹ,"Đệ tử nhập môn Thiên Long, được mang danh môn phái đi hành hiệp trượng nghĩa trong giang hồ.",7,0,-1,,
50,Title,1,62,1,Tàng Kinh Hiệp Sỹ,"Đệ tử sơ cấp Thiên Long, có chút đóng góp cho môn phái.",7,1000,-1,,
51,Title,1,63,1,Sùng Thánh Thiên Sư,"Đệ tử trung cấp Thiên Long, có nhiều công lao đóng góp cho môn phái.",7,2500,-1,,
52,Title,1,64,1,Thiên Nam Long Vương,"Đệ tử cao cấp Thiên Long, có nhiều công lao hiển hách chiến đấu vì môn phái, là một thành phần không thể thiếu được đối với với môn phái.",7,5000,-1,,
53,Title,1,65,0,Thiên Long Hiệp Nữ,"Đệ tử nhập môn Thiên Long, được mang danh môn phái đi hành hiệp trượng nghĩa trong giang hồ.",7,0,-1,,
54,Title,1,66,0,Tàng Kinh Hiệp Nữ,"Đệ tử sơ cấp Thiên Long, có chút đóng góp cho môn phái.",7,1000,-1,,
55,Title,1,67,0,Sùng Thánh Thiên Nữ,"Đệ tử trung cấp Thiên Long, có nhiều công lao đóng góp cho môn phái.",7,2500,-1,,
56,Title,1,68,0,Thiên Nam Long Nữ,"Đệ tử cao cấp Thiên Long, có nhiều công lao hiển hách chiến đấu vì môn phái, là một thành phần không thể thiếu được đối với với môn phái.",7,5000,-1,,
57,Title,1,71,1,Thiên Sơn Hiệp Sỹ,"Đệ tử nhập môn Thiên Sơn, được mang danh môn phái đi hành hiệp trượng nghĩa trong giang hồ.",8,0,-1,,
58,Title,1,72,1,Dương Thiên Bộ Chúng,"Đệ tử sơ cấp Thiên Sơn, có chút đóng góp cho môn phái.",8,1000,-1,,
59,Title,1,73,1,Thiên Sơn Thương Ưng,"Đệ tử trung cấp Thiên Sơn, có nhiều công lao đóng góp cho môn phái.",8,2500,-1,,
60,Title,1,74,1,Hỗn Nguyên Sơn Thần,"Đệ tử cao cấp Thiên Sơn, có nhiều công lao hiển hách chiến đấu vì môn phái, là một thành phần không thể thiếu được đối với với môn phái.",8,5000,-1,,
61,Title,1,75,0,Thiên Sơn Hiệp Nữ,"Đệ tử nhập môn Thiên Sơn, được mang danh môn phái đi hành hiệp trượng nghĩa trong giang hồ.",8,0,-1,,
62,Title,1,76,0,Hạo Thiên Bộ Chúng,"Đệ tử sơ cấp Thiên Sơn, có chút đóng góp cho môn phái.",8,1000,-1,,
63,Title,1,77,0,Thiên Sơn Tuyết Điêu,"Đệ tử trung cấp Thiên Sơn, có nhiều công lao đóng góp cho môn phái.",8,2500,-1,,
64,Title,1,78,0,Hỗn Nguyên Hoa Thần,"Đệ tử cao cấp Thiên Sơn, có nhiều công lao hiển hách chiến đấu vì môn phái, là một thành phần không thể thiếu được đối với với môn phái.",8,5000,-1,,
65,Title,1,81,1,Tiêu Dao Hiệp Sỹ,"Đệ tử nhập môn Tiêu Dao, được mang danh môn phái đi hành hiệp trượng nghĩa trong giang hồ.",9,0,-1,,
66,Title,1,82,1,Phù Cầm Cư Sỹ,"Đệ tử sơ cấp Tiêu Dao, có chút đóng góp cho môn phái.",9,1000,-1,,
67,Title,1,83,1,Lạc Thần Hiệp Sỹ,"Đệ tử trung cấp Tiêu Dao, có nhiều công lao đóng góp cho môn phái.",9,2500,-1,,
68,Title,1,84,1,Tiêu Dao Thần Long,"Đệ tử cao cấp Tiêu Dao, có nhiều công lao hiển hách chiến đấu vì môn phái, là một thành phần không thể thiếu được đối với với môn phái.",9,5000,-1,,
69,Title,1,85,0,Tiêu Dao Hiệp Nữ,"Đệ tử nhập môn Tiêu Dao, được mang danh môn phái đi hành hiệp trượng nghĩa trong giang hồ.",9,0,-1,,
70,Title,1,86,0,Thi Hoa Cư Sỹ,"Đệ tử sơ cấp Tiêu Dao, có chút đóng góp cho môn phái.",9,1000,-1,,
71,Title,1,87,0,Lạc Thần Hiệp Nữ,"Đệ tử trung cấp Tiêu Dao, có nhiều công lao đóng góp cho môn phái.",9,2500,-1,,
72,Title,1,88,0,Tiêu Dao Thánh Nữ,"Đệ tử cao cấp Tiêu Dao, có nhiều công lao hiển hách chiến đấu vì môn phái, là một thành phần không thể thiếu được đối với với môn phái.",9,5000,-1,,
73,Title,1,91,1,Giang Nam Hiệp Sỹ,"Đệ tử nhập môn Mộ Dung, được mang danh môn phái đi hành hiệp trượng nghĩa trong giang hồ.",10,0,-1,,
74,Title,1,92,1,Phục Quốc Dũng Sỹ,"Đệ tử sơ cấp Mộ Dung, có chút đóng góp cho môn phái.",10,1000,-1,,
75,Title,1,93,1,Phụ Quốc Mưu Sỹ,"Đệ tử trung cấp Mộ Dung, có nhiều công lao đóng góp cho môn phái.",10,2500,-1,,
76,Title,1,94,1,Yến Hoàng Di Mạch,"Đệ tử cao cấp Mộ Dung, có nhiều công lao hiển hách chiến đấu vì môn phái, là một thành phần không thể thiếu được đối với với môn phái.",10,5000,-1,,
77,Title,1,95,0,Giang Nam Hiệp Nữ,"Đệ tử nhập môn Mộ Dung, được mang danh môn phái đi hành hiệp trượng nghĩa trong giang hồ.",10,0,-1,,
78,Title,1,96,0,Minh Hương Hiệp Nữ,"Đệ tử sơ cấp Mộ Dung, có chút đóng góp cho môn phái.",10,1000,-1,,
79,Title,1,97,0,Huyền Vận Hiệp Nữ,"Đệ tử trung cấp Mộ Dung, có nhiều công lao đóng góp cho môn phái.",10,2500,-1,,
80,Title,1,98,0,Si Tình Hồng Nhan,"Đệ tử cao cấp Mộ Dung, có nhiều công lao hiển hách chiến đấu vì môn phái, là một thành phần không thể thiếu được đối với với môn phái.",10,5000,-1,,
81,Title,1,101,1,Đường Môn Hiệp Sỹ,"Đệ tử nhập môn Đường Môn, được mang danh môn phái đi hành hiệp trượng nghĩa trong giang hồ.",11,0,-1,,
82,Title,1,102,1,Xuyên Dương Cư Sỹ,"Đệ tử sơ cấp Đường Môn, có chút đóng góp cho môn phái.",11,1000,-1,,
83,Title,1,103,1,Lưu Tinh Tôn Giả,"Đệ tử trung cấp Đường Môn, có nhiều công lao đóng góp cho môn phái.",11,2500,-1,,
84,Title,1,104,1,Lạc Nhật Nỗ Thần,"Đệ tử cao cấp Đường Môn, có nhiều công lao hiển hách chiến đấu vì môn phái, là một thành phần không thể thiếu được đối với với môn phái.",11,5000,-1,,
85,Title,1,105,0,Đường Môn Hiệp Nữ,"Đệ tử nhập môn Đường Môn, được mang danh môn phái đi hành hiệp trượng nghĩa trong giang hồ.",11,0,-1,,
86,Title,1,106,0,Lê Hoa Cư Sỹ,"Đệ tử sơ cấp Đường Môn, có chút đóng góp cho môn phái.",11,1000,-1,,
87,Title,1,107,0,Cản Nguyệt Thiên Nữ,"Đệ tử trung cấp Đường Môn, có nhiều công lao đóng góp cho môn phái.",11,2500,-1,,
88,Title,1,108,0,Liệt Thiên Nỗ Thánh,"Đệ tử cao cấp Đường Môn, có nhiều công lao hiển hách chiến đấu vì môn phái, là một thành phần không thể thiếu được đối với với môn phái.",11,5000,-1,,
89,Title,1,111,1,Quỷ Cốc Hiệp Sỹ,"Đệ tử nhập môn Quỷ Cốc, được mang danh môn phái đi hành hiệp trượng nghĩa trong giang hồ.",12,0,-1,,
90,Title,1,112,1,Tung Hoành Cư Sỹ,"Đệ tử sơ cấp Quỷ Cốc, có chút đóng góp cho môn phái.",12,1000,-1,,
91,Title,1,113,1,Huyền Cơ Tôn Giả,"Đệ tử trung cấp Quỷ Cốc, có nhiều công lao đóng góp cho môn phái.",12,2500,-1,,
92,Title,1,114,1,Vạn Thánh Thiên Sư,"Đệ tử cao cấp Quỷ Cốc, có nhiều công lao hiển hách chiến đấu vì môn phái, là một thành phần không thể thiếu được đối với với môn phái.",12,5000,-1,,
93,Title,1,115,0,Quỷ Cốc Hiệp Nữ,"Đệ tử nhập môn Quỷ Cốc, được mang danh môn phái đi hành hiệp trượng nghĩa trong giang hồ.",12,0,-1,,
94,Title,1,116,0,Linh Lung Cư Sỹ,"Đệ tử sơ cấp Quỷ Cốc, có chút đóng góp cho môn phái.",12,1000,-1,,
95,Title,1,117,0,Huyền Cơ Thiên Nữ,"Đệ tử trung cấp Quỷ Cốc, có nhiều công lao đóng góp cho môn phái.",12,2500,-1,,
96,Title,1,118,0,Vạn Diệu Tiên Tử,"Đệ tử cao cấp Quỷ Cốc, có nhiều công lao hiển hách chiến đấu vì môn phái, là một thành phần không thể thiếu được đối với với môn phái.",12,5000,-1,,
97,Title,1,121,1,Đào Hoa Hiệp Sỹ,"Đệ tử nhập môn Đào Hoa, được mang danh môn phái đi hành hiệp trượng nghĩa trong giang hồ.",13,0,-1,,
98,Title,1,122,1,Cách Vật Nhã Sỹ,"Đệ tử sơ cấp Đào Hoa, có chút đóng góp cho môn phái.",13,1000,-1,,
99,Title,1,123,1,Kiếm Ý Hành Giả,"Đệ tử trung cấp Đào Hoa, có nhiều công lao đóng góp cho môn phái.",13,2500,-1,,
100,Title,1,124,1,Hãn Hải Tiên Quân,"Đệ tử cao cấp Đào Hoa, có nhiều công lao hiển hách chiến đấu vì môn phái, là một thành phần không thể thiếu được đối với với môn phái.",13,5000,-1,,
101,Title,1,125,0,Đào Hoa Hiệp Nữ,"Đệ tử nhập môn Đào Hoa, được mang danh môn phái đi hành hiệp trượng nghĩa trong giang hồ.",13,0,-1,,
102,Title,1,126,0,Lạc Anh Y Nhân,"Đệ tử sơ cấp Đào Hoa, có chút đóng góp cho môn phái.",13,1000,-1,,
103,Title,1,127,0,Tiêu Ngữ Ca Giả,"Đệ tử trung cấp Đào Hoa, có nhiều công lao đóng góp cho môn phái.",13,2500,-1,,
104,Title,1,128,0,Bích Tiêu Tiên Tử,"Đệ tử cao cấp Đào Hoa, có nhiều công lao hiển hách chiến đấu vì môn phái, là một thành phần không thể thiếu được đối với với môn phái.",13,5000,-1,,
105,Title,1,131,1,Mạn Đà Ẩn Sỹ,"Đệ tử nhập môn Mạn Đà, được mang danh môn phái đi hành hiệp trượng nghĩa trong giang hồ.",99,0,-1,,
106,Title,1,132,1,Ngưng Huy Cầm Sư,"Đệ tử sơ cấp Mạn Đà, có chút đóng góp cho môn phái.",99,1000,-1,,
107,Title,1,133,1,Phất Hiểu Cầm Tông,"Đệ tử trung cấp Mạn Đà, có nhiều công lao đóng góp cho môn phái.",99,2500,-1,,
108,Title,1,134,1,Độ Tình Cầm Tiên,"Đệ tử cao cấp Mạn Đà, có nhiều công lao hiển hách chiến đấu vì môn phái, là một thành phần không thể thiếu được đối với với môn phái.",99,5000,-1,,
109,Title,1,135,0,Mạn Đà Ẩn Nữ,"Đệ tử nhập môn Mạn Đà, được mang danh môn phái đi hành hiệp trượng nghĩa trong giang hồ.",99,0,-1,,
110,Title,1,136,0,Lăng Vận Cầm Sư,"Đệ tử sơ cấp Mạn Đà, có chút đóng góp cho môn phái.",99,1000,-1,,
111,Title,1,137,0,Thanh Chiếu Cầm Tông,"Đệ tử trung cấp Mạn Đà, có nhiều công lao đóng góp cho môn phái.",99,2500,-1,,
112,Title,1,138,0,Quan Tình Cầm Tiên,"Đệ tử cao cấp Mạn Đà, có nhiều công lao hiển hách chiến đấu vì môn phái, là một thành phần không thể thiếu được đối với với môn phái.",99,5000,-1,,
113,Title,1,141,1,Tuyệt Tình Hiệp Sỹ,"Đệ tử nhập môn Tuyệt Tình, được mang danh môn phái đi hành hiệp trượng nghĩa trong giang hồ.",14,0,-1,,
114,Title,1,142,1,Vô Tranh Ẩn Hiệp,"Đệ tử sơ cấp Tuyệt Tình, có chút đóng góp cho môn phái.",14,1000,-1,,
115,Title,1,143,1,Chỉ Qua Cư Sỹ,"Đệ tử trung cấp Tuyệt Tình, có nhiều công lao đóng góp cho môn phái.",14,2500,-1,,
116,Title,1,144,1,Thôi Đao Viễn Khách,"Đệ tử cao cấp Tuyệt Tình, có nhiều công lao hiển hách chiến đấu vì môn phái, là một thành phần không thể thiếu được đối với với môn phái.",14,5000,-1,,
117,Title,1,145,0,Tuyệt Tình Hiệp Nữ,"Đệ tử nhập môn Tuyệt Tình, được mang danh môn phái đi hành hiệp trượng nghĩa trong giang hồ.",14,0,-1,,
118,Title,1,146,0,Thanh Huy Lệ Nữ,"Đệ tử sơ cấp Tuyệt Tình, có chút đóng góp cho môn phái.",14,1000,-1,,
119,Title,1,147,0,Kinh Danh Danh Thư,"Đệ tử trung cấp Tuyệt Tình, có nhiều công lao đóng góp cho môn phái.",14,2500,-1,,
120,Title,1,148,0,Trục Hoa Nhã Khách,"Đệ tử cao cấp Tuyệt Tình, có nhiều công lao hiển hách chiến đấu vì môn phái, là một thành phần không thể thiếu được đối với với môn phái.",14,5000,-1,,
121,Title,1,151,1,Ác Nhân Oán Đồ,"Đệ tử nhập môn Ác Nhân Cốc, được mang danh môn phái đi reo rắc oán nghiệp khắp giang hồ.",15,0,-1,,
122,Title,1,152,1,Tham Vọng Hung Đồ,"Đệ tử sơ cấp Ác Nhân Cốc, có chút đóng góp cho môn phái.",15,1000,-1,,
123,Title,1,153,1,Thích Đấu Ác Sát,"Đệ tử trung cấp Ác Nhân Cốc, có nhiều công lao đóng góp cho môn phái.",15,2500,-1,,
124,Title,1,154,1,Doanh Tội Tu La,"Đệ tử cao cấp Ác Nhân Cốc, có nhiều công lao hiển hách chiến đấu vì môn phái, là một thành phần không thể thiếu được đối với với môn phái.",15,5000,-1,,
125,Title,1,155,0,Ác Nhân Oán Nữ,"Đệ tử nhập môn Ác Nhân Cốc, được mang danh môn phái đi reo rắc oán nghiệp khắp giang hồ.",15,0,-1,,
126,Title,1,156,0,Si Sân Mỹ Nhân,"Đệ tử sơ cấp Ác Nhân Cốc, có chút đóng góp cho môn phái.",15,1000,-1,,
127,Title,1,157,0,Khát Huyết Yêu Cơ,"Đệ tử trung cấp Ác Nhân Cốc, có nhiều công lao đóng góp cho môn phái.",15,2500,-1,,
128,Title,1,158,0,Quán Ác La Sát,"Đệ tử cao cấp Ác Nhân Cốc, có nhiều công lao hiển hách chiến đấu vì môn phái, là một thành phần không thể thiếu được đối với với môn phái.",15,5000,-1,,
129,Title,2,200,-1,Bình Tặc Binh Sỹ,"Dũng mãnh diệt giặc, xung phong trận tiền.",100,100,-1,,
130,Title,2,201,-1,Bình Tặc Đội Trưởng,"Cao thủ diệt giặc, không hề vụ lợi.",100,500,-1,,
131,Title,2,202,-1,Bình Tặc Thống Lĩnh,"Tinh anh diệt giặc, khắc tinh của quân giặc.",100,5000,-1,,
132,Title,2,203,-1,Đăng Khấu Tướng Quân,"Tài của đại tướng, dẹp yên lũ giặc.",100,30000,-1,,
133,Title,2,204,-1,Đăng Khấu Nguyên Soái,"Tài của nguyên soái, dẹp yên lũ giặc.",100,65000,-1,,
134,Title,3,210,-1,Chiêu Võ Hiệu Úy,"Binh sỹ sơ cấp, mới lập công đầu, cần cố gắng thêm.",101,1000,-1,,
135,Title,3,211,-1,Chấn Uy Trung Lang Tướng,"Tướng lĩnh sơ cấp, lập được vài chiến công nhỏ.",101,2000,-1,,
136,Title,3,212,-1,Phiêu Kỵ Tướng Quân,"Tướng lĩnh trung cấp, lập được nhiều chiến công.",101,5000,-1,,
137,Title,3,213,-1,Thần Võ Đại Tướng Quân,"Thần võ tướng quân, anh minh thần võ, uy chấn vũ trụ.",101,10000,-1,,
138,Title,4,220,-1,Tào Vận Thương,"Thương nhân vận chuyển sơ cấp, mới bước vào nghề, tiếp tục cố gắng.",102,10,-1,,
139,Title,4,221,-1,Tào Vận Tẩu Tốt,"Thương nhân vận chuyển sơ trung cấp, mới quen tay với nghề vận chuyển, tiếp tục cố gắng.",102,20,-1,,
140,Title,4,222,-1,Tào Vận Áp Giải Quan,"Thương nhân vận chuyển trung cấp, có tài năng trong nghề vận chuyển, tiếp tục nghiêm túc.",102,50,-1,,
141,Title,4,223,-1,Tào Vận Thống Lĩnh,"Thương nhân vận chuyển cao trung cấp, cao thủ trong nghề vận chuyển, tiếp tục nghiêm túc.",102,100,-1,,
142,Title,4,224,-1,Tào Vận Điều Độ Phó Sứ,"Thương nhân vận chuyển cao cấp, người có tiếng trong nghề vận chuyển, tiếp tục nghiêm túc.",102,200,-1,,
143,Title,4,225,-1,Tào Vận Điều Độ Sứ,"Thương nhân vận chuyển siêu cấp, người có quyền uy trong nghề vận chuyển, điển hình của giới kinh doanh.",102,500,-1,,
144,Title,4,226,-1,Tào Vận Tổng Điều Phối,"Bậc thầy vận chuyển, là thần thoại trong nghề, bất hủ truyền kỳ.",102,1000,-1,,
145,Title,5,230,-1,Tiểu Phỉ Nghĩa Sỹ,Các nghĩa sĩ hưởng ứng lời kêu gọi diệt trừ phiến loạn.,103,50,-1,,
146,Title,5,231,-1,Phá Phỉ Hiệp Sỹ,Các hiệp sĩ hưởng ứng lời kêu gọi đánh tan thổ phỉ của triều đình.,103,100,-1,,
147,Title,5,232,-1,Trấn Phỉ Anh Hiệp,Các anh hùng hiệp sĩ hưởng ứng lời kêu gọi trấn áp thổ phỉ.,103,500,-1,,
148,Title,5,233,-1,Thiên Hạ Phỉ Kiến Sầu,Làm bọn thổ phỉ trong thiên hạ nghe phải run sợ thấy phải lo lắng.,103,1000,-1,,
149,Title,6,240,-1,Phong Mang Sơ Hiện,"Danh hiệu minh chứng cho anh hùng hào kiệt, người đã bình loạn Phiêu Miễu Phong thành công 50 lần.",104,50,-1,,
150,Title,6,241,-1,Hào Tình Vô Song,"Danh hiệu minh chứng cho anh hùng hào kiệt, người đã bình loạn Phiêu Miễu Phong thành công 100 lần.",104,100,-1,,
151,Title,6,242,-1,Chiến Vô Bất Thắng,"Danh hiệu minh chứng cho anh hùng hào kiệt, người đã bình loạn Phiêu Miễu Phong thành công 500 lần.",104,500,-1,,
152,Title,6,243,-1,Ngã Ý Tung Hoành,"Danh hiệu minh chứng cho anh hùng hào kiệt, người đã bình loạn Phiêu Miễu Phong thành công 1000 lần.",104,1000,-1,,
153,Title,7,250,-1,Quảng Mục Thiên Vương,"Danh hiệu minh chứng cho anh hùng hào kiệt, người đã hoàn thành phụ bản Thập Nhị Sát Tinh 10 lần.",105,10,-1,,
154,Title,7,251,-1,Đa Văn Thiên Vương,"Danh hiệu minh chứng cho anh hùng hào kiệt, người đã hoàn thành phụ bản Thập Nhị Sát Tinh 100 lần.",105,100,-1,,
155,Title,7,252,-1,Tăng Trưởng Thiên Vương,"Danh hiệu minh chứng cho anh hùng hào kiệt, người đã hoàn thành phụ bản Thập Nhị Sát Tinh 1000 lần.",105,1000,-1,,
156,Title,7,253,-1,Trì Quốc Thiên Vương,"Danh hiệu minh chứng cho anh hùng hào kiệt, người đã hoàn thành phụ bản Thập Nhị Sát Tinh 10000 lần.",105,10000,-1,,
